ticker,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,BWA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-12-15,4.3438,4.2734,4.5891,4.3406,4.4583,DOWN,0
2000-12-18,4.3281,4.3281,4.5903,4.3203,4.4545,DOWN,0
2000-12-19,4.3047,4.3281,4.5918,4.3125,4.4492,DOWN,0
2000-12-20,4.2344,4.25,4.5934,4.3016,4.4486,UP,1
2000-12-21,4.3672,4.25,4.5959,4.3156,4.4508,UP,1
2000-12-22,4.4844,4.3672,4.5985,4.3438,4.458,UP,1
2000-12-26,4.7031,4.4609,4.6017,4.4188,4.4684,UP,1
2000-12-27,4.9219,4.6875,4.606,4.5422,4.4833,UP,1
2000-12-28,5.0,4.9063,4.6102,4.6953,4.4995,DOWN,0
2000-12-29,5.0,5.0,4.6135,4.8219,4.5156,DOWN,0
2001-01-02,4.9688,5.0,4.6155,4.9188,4.5294,UP,1
2001-01-03,5.3047,4.9219,4.6194,5.0391,4.5527,UP,1
2001-01-04,5.3828,5.2734,4.6234,5.1313,4.5736,DOWN,0
2001-01-05,5.1563,5.3594,4.6263,5.1625,4.588,UP,1
2001-01-08,5.2031,5.1563,4.629,5.2031,4.6025,DOWN,0
2001-01-09,5.0,5.1563,4.631,5.2094,4.6139,DOWN,0
2001-01-10,4.9453,5.0,4.6331,5.1375,4.6236,UP,1
2001-01-11,5.0313,4.9688,4.6357,5.0672,4.6311,DOWN,0
2001-01-12,4.9922,5.0156,4.6387,5.0344,4.6366,UP,1
2001-01-16,5.0,4.9766,4.641,4.9938,4.6419,UP,1
2001-01-17,5.0938,5.0313,4.6419,5.0125,4.6484,DOWN,0
2001-01-18,5.0156,5.0938,4.6432,5.0266,4.6575,DOWN,0
2001-01-19,4.8906,5.0234,4.6444,4.9984,4.6625,UP,1
2001-01-22,4.9844,4.9219,4.6452,4.9969,4.6716,UP,1
2001-01-23,5.1172,4.9844,4.6463,5.0203,4.6831,DOWN,0
