ticker,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,SPY US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2001-01-18,134.7813,133.4375,142.4477,133.0656,134.2347,DOWN,0
2001-01-19,134.0156,136.1875,142.389,133.4188,134.0394,UP,1
2001-01-22,134.9063,134.25,142.3176,134.0,133.8625,UP,1
2001-01-23,135.9688,134.4688,142.245,134.625,133.7706,UP,1
2001-01-24,136.375,136.25,142.1697,135.2094,133.6975,DOWN,0
2001-01-25,136.0313,136.25,142.0956,135.4594,133.6856,DOWN,0
2001-01-26,135.875,135.1563,142.023,135.8313,133.6919,UP,1
2001-01-29,136.6,135.5,141.9746,136.17,133.6414,UP,1
2001-01-30,137.8,136.3,141.9423,136.5363,133.6061,DOWN,0
2001-01-31,137.02,137.4,141.9474,136.6653,133.599,UP,1
2001-02-01,137.93,137.1,141.9333,137.045,133.6248,DOWN,0
2001-02-02,134.8,137.4,141.885,136.83,133.6271,UP,1
2001-02-05,135.79,134.8,141.8483,136.668,133.6354,DOWN,0
2001-02-06,135.39,135.3,141.8062,136.186,133.7004,DOWN,0
2001-02-07,134.69,134.72,141.7684,135.72,133.6973,DOWN,0
2001-02-08,133.12,134.8,141.6932,134.758,133.6391,DOWN,0
2001-02-09,131.84,133.35,141.62,134.166,133.6021,UP,1
2001-02-12,133.35,131.7,141.5567,133.678,133.6004,DOWN,0
2001-02-13,132.26,133.7,141.4926,133.052,133.5999,DOWN,0
2001-02-14,132.06,132.65,141.4175,132.526,133.5968,UP,1
2001-02-15,133.34,132.84,141.3636,132.57,133.5967,DOWN,0
2001-02-16,130.4,131.0,141.3119,132.282,133.4503,DOWN,0
2001-02-20,128.39,131.04,141.2448,131.29,133.3078,DOWN,0
2001-02-21,125.62,127.9,141.1552,129.962,133.1471,UP,1
2001-02-22,125.81,126.35,141.072,128.712,132.9839,DOWN,0
2001-02-23,124.96,125.08,140.9902,127.036,132.7106,UP,1
2001-02-26,127.62,125.8,140.9377,126.48,132.5024,DOWN,0
2001-02-27,126.44,126.8,140.8635,126.09,132.3084,DOWN,0
2001-02-28,123.95,126.75,140.7692,125.756,132.0992,UP,1
