ticker,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,LMT US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-08-15,28.813,29.0,21.9532,29.3625,26.2063,DOWN,0
2000-08-16,28.0,28.5,21.9926,29.0625,26.2475,DOWN,0
2000-08-17,27.688,27.75,22.0297,28.675,26.2938,UP,1
2000-08-18,27.938,27.563,22.0766,28.3375,26.3575,UP,1
2000-08-21,28.438,27.938,22.1288,28.175,26.42,UP,1
2000-08-22,29.188,28.063,22.1879,28.25,26.4925,DOWN,0
2000-08-23,28.375,28.5,22.2413,28.325,26.555,UP,1
2000-08-24,28.438,28.188,22.2919,28.475,26.63,UP,1
2000-08-25,28.688,28.5,22.3394,28.625,26.7038,DOWN,0
2000-08-28,28.313,29.125,22.3819,28.6,26.7838,DOWN,0
2000-08-29,27.563,28.313,22.4247,28.275,26.8413,UP,1
2000-08-30,27.813,27.563,22.4694,28.1625,26.9075,UP,1
2000-08-31,28.375,27.688,22.5163,28.15,26.995,DOWN,0
2000-09-01,28.063,28.813,22.5604,28.025,27.0825,UP,1
2000-09-05,28.25,28.188,22.5985,28.0125,27.1638,UP,1
2000-09-06,28.875,27.0,22.6366,28.275,27.245,UP,1
2000-09-07,30.188,29.0,22.6876,28.75,27.3625,DOWN,0
2000-09-08,29.938,30.125,22.736,29.0625,27.4875,DOWN,0
2000-09-11,29.813,30.0,22.7841,29.4125,27.5838,DOWN,0
2000-09-12,29.5,30.188,22.8313,29.6625,27.6775,UP,1
2000-09-13,29.688,29.563,22.8779,29.825,27.785,DOWN,0
2000-09-14,29.375,29.313,22.9254,29.6625,27.8725,UP,1
2000-09-15,29.563,29.5,22.9722,29.5875,27.9588,DOWN,0
2000-09-18,29.313,29.5,23.0185,29.4875,28.0388,DOWN,0
2000-09-19,28.688,29.0,23.0619,29.325,28.1088,UP,1
2000-09-20,28.75,28.75,23.1079,29.1375,28.1888,UP,1
2000-09-21,30.938,28.75,23.1644,29.45,28.3063,DOWN,0
2000-09-22,30.375,30.25,23.2163,29.6125,28.4138,DOWN,0
2000-09-25,30.0,30.7,23.2669,29.75,28.4863,UP,1
2000-09-26,32.0,29.35,23.3279,30.4125,28.6188,UP,1
2000-09-27,32.86,33.25,23.3928,31.2345,28.7697,DOWN,0
2000-09-28,32.06,32.84,23.4522,31.459,28.9034,UP,1
2000-09-29,32.93,32.0,23.5168,31.97,29.027,DOWN,0
2000-10-02,32.1,32.1,23.5757,32.39,29.1428,UP,1
2000-10-03,32.66,32.0,23.6375,32.522,29.2647,UP,1
2000-10-04,33.07,32.66,23.7031,32.564,29.3824,DOWN,0
2000-10-05,32.65,32.5,23.7673,32.682,29.4854,DOWN,0
2000-10-06,31.78,32.65,23.8278,32.452,29.5772,UP,1
2000-10-09,33.09,31.95,23.8945,32.65,29.679,DOWN,0
