ticker,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,JNJ US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-08-01,93.77,94.16,78.8778,93.296,87.7404,UP,1
2013-08-02,94.39,93.56,79.0099,93.608,87.859,DOWN,0
2013-08-05,93.8,94.05,79.1359,93.726,87.9908,UP,1
2013-08-06,93.81,93.88,79.2572,93.854,88.1306,DOWN,0
2013-08-07,93.66,93.6,79.3705,93.886,88.2516,DOWN,0
2013-08-08,93.34,94.27,79.4745,93.8,88.4054,DOWN,0
2013-08-09,92.36,93.39,79.5771,93.394,88.5328,DOWN,0
2013-08-12,92.0,92.08,79.6782,93.034,88.6892,UP,1
2013-08-13,93.01,91.89,79.7887,92.874,88.8552,DOWN,0
2013-08-14,90.7,92.79,79.8886,92.282,88.9872,DOWN,0
2013-08-15,89.55,90.32,79.9806,91.524,89.1046,DOWN,0
2013-08-16,89.37,89.13,80.073,90.926,89.2028,UP,1
2013-08-19,90.45,89.47,80.1711,90.616,89.3136,DOWN,0
2013-08-20,89.73,90.55,80.2623,89.96,89.4054,DOWN,0
2013-08-21,88.8,89.47,80.3518,89.58,89.4876,DOWN,0
2013-08-22,88.26,88.76,80.4391,89.322,89.578,UP,1
2013-08-23,88.41,87.93,80.5261,89.13,89.648,DOWN,0
2013-08-26,87.53,88.36,80.6121,88.546,89.7004,DOWN,0
2013-08-27,86.17,86.97,80.6947,87.834,89.7112,UP,1
2013-08-28,86.53,86.36,80.778,87.38,89.7146,UP,1
2013-08-29,86.57,86.41,80.8624,87.042,89.7488,DOWN,0
2013-08-30,86.41,86.78,80.9469,86.642,89.8246,UP,1
2013-09-03,86.42,86.89,81.0327,86.42,89.889,UP,1
2013-09-04,86.9,86.46,81.1218,86.566,89.9348,UP,1
2013-09-05,87.04,87.0,81.2111,86.668,89.9686,UP,1
2013-09-06,87.16,87.22,81.3006,86.786,89.972,UP,1
2013-09-09,87.56,87.39,81.3901,87.016,89.989,UP,1
2013-09-10,88.53,88.14,81.4848,87.438,90.0424,UP,1
2013-09-11,89.23,88.63,81.5831,87.904,90.0944,DOWN,0
2013-09-12,89.01,89.3,81.6827,88.298,90.1432,DOWN,0
2013-09-13,88.57,89.13,81.7815,88.58,90.179,UP,1
2013-09-16,89.03,89.43,81.8802,88.874,90.2022,UP,1
2013-09-17,89.06,89.05,81.9794,88.98,90.2116,UP,1
2013-09-18,89.91,88.91,82.0803,89.116,90.2322,UP,1
2013-09-19,90.07,90.05,82.1824,89.328,90.2488,DOWN,0
2013-09-20,89.68,90.2,82.2815,89.55,90.249,DOWN,0
2013-09-23,89.09,89.43,82.3771,89.562,90.231,DOWN,0
2013-09-24,88.22,89.02,82.468,89.394,90.1874,DOWN,0
2013-09-25,87.08,88.42,82.5511,88.828,90.121,DOWN,0
2013-09-26,87.07,87.28,82.6335,88.228,90.0598,DOWN,0
2013-09-27,86.73,86.81,82.7116,87.638,89.991,DOWN,0
2013-09-30,86.69,86.33,82.7903,87.158,89.8802,UP,1
2013-10-01,87.47,86.59,82.8739,87.008,89.784,DOWN,0
2013-10-02,87.29,87.13,82.9569,87.05,89.6814,DOWN,0
2013-10-03,86.58,87.19,83.0351,86.952,89.5658,UP,1
2013-10-04,87.31,86.82,83.1169,87.068,89.4606,DOWN,0
2013-10-07,86.59,86.7,83.1967,87.048,89.3358,DOWN,0
2013-10-08,85.61,86.62,83.271,86.676,89.1838,UP,1
2013-10-09,85.96,85.93,83.3494,86.41,89.0396,UP,1
2013-10-10,87.78,86.72,83.4382,86.65,88.9252,UP,1
2013-10-11,89.45,88.62,83.5346,87.078,88.8388,UP,1
2013-10-14,89.8,88.83,83.6332,87.72,88.747,UP,1
2013-10-15,89.93,90.33,83.7354,88.584,88.6696,UP,1
2013-10-16,91.11,90.42,83.8405,89.614,88.6156,UP,1
2013-10-17,91.97,90.87,83.9461,90.452,88.5818,DOWN,0
2013-10-18,91.63,91.75,84.0506,90.888,88.5476,DOWN,0
2013-10-21,91.2,91.63,84.1488,91.168,88.5244,UP,1
2013-10-22,92.36,91.53,84.2536,91.654,88.5316,DOWN,0
2013-10-23,92.1,92.07,84.3571,91.852,88.5134,UP,1
2013-10-24,92.35,92.65,84.4602,91.928,88.5464,DOWN,0
2013-10-25,92.09,92.04,84.5597,92.02,88.5972,UP,1
2013-10-28,92.39,91.96,84.6599,92.258,88.6576,UP,1
2013-10-29,93.14,92.8,84.7628,92.414,88.7114,DOWN,0
2013-10-30,92.79,93.27,84.8649,92.552,88.7726,DOWN,0
2013-10-31,92.61,92.85,84.965,92.604,88.8488,UP,1
2013-11-01,93.37,92.3801,85.0674,92.86,88.951,DOWN,0
2013-11-04,93.03,93.46,85.1664,92.988,89.0434,DOWN,0
2013-11-05,92.81,92.54,85.267,92.922,89.149,UP,1
2013-11-06,93.04,93.03,85.3679,92.972,89.2864,DOWN,0
2013-11-07,92.69,93.19,85.4659,92.988,89.4096,UP,1
2013-11-08,94.05,92.63,85.5665,93.124,89.5592,UP,1
2013-11-11,94.29,93.97,85.6699,93.376,89.7168,DOWN,0
2013-11-12,93.56,93.98,85.7656,93.526,89.8596,DOWN,0
2013-11-13,93.34,93.36,85.8619,93.586,89.9884,UP,1
2013-11-14,93.92,93.4,85.9619,93.832,90.126,UP,1
2013-11-15,94.39,93.63,86.0629,93.9,90.2706,DOWN,0
2013-11-18,94.3,94.36,86.1639,93.902,90.4054,UP,1
2013-11-19,94.86,94.27,86.2649,94.162,90.532,UP,1
2013-11-20,95.15,94.94,86.3637,94.524,90.6504,UP,1
2013-11-21,95.2,95.46,86.4644,94.78,90.7742,UP,1
2013-11-22,95.25,94.39,86.5632,94.952,90.9078,UP,1
2013-11-25,95.63,95.49,86.6643,95.218,91.0398,DOWN,0
2013-11-26,95.06,95.58,86.7606,95.258,91.1598,DOWN,0
2013-11-27,94.98,95.34,86.8572,95.224,91.2612,DOWN,0
2013-11-29,94.66,95.23,86.9515,95.116,91.353,DOWN,0
2013-12-02,94.28,94.41,87.0421,94.922,91.445,DOWN,0
2013-12-03,93.97,94.2,87.1271,94.59,91.5426,DOWN,0
2013-12-04,93.63,93.76,87.212,94.304,91.6508,DOWN,0
2013-12-05,92.97,93.42,87.2925,93.902,91.7686,UP,1
2013-12-06,94.44,93.6,87.3835,93.858,91.916,DOWN,0
2013-12-09,94.44,94.3,87.4778,93.89,92.0702,DOWN,0
2013-12-10,94.14,94.58,87.5698,93.924,92.2192,DOWN,0
2013-12-11,93.11,94.4,87.6537,93.82,92.332,DOWN,0
2013-12-12,91.16,92.84,87.729,93.458,92.4094,UP,1
2013-12-13,91.35,91.46,87.8022,92.84,92.5048,UP,1
2013-12-16,91.37,91.42,87.8731,92.226,92.586,DOWN,0
2013-12-17,90.66,91.3,87.9381,91.53,92.6674,UP,1
2013-12-18,92.64,90.95,88.0143,91.436,92.808,DOWN,0
2013-12-19,91.98,92.4,88.0855,91.6,92.9284,UP,1
2013-12-20,92.09,91.95,88.155,91.748,93.0146,DOWN,0
2013-12-23,92.03,92.56,88.2229,91.88,93.0662,UP,1
2013-12-24,92.06,92.18,88.2904,92.16,93.1114,UP,1
2013-12-26,92.54,91.99,88.3604,92.14,93.1636,DOWN,0
2013-12-27,92.35,92.77,88.4266,92.214,93.1884,DOWN,0
2013-12-30,92.3,92.16,88.4922,92.256,93.195,DOWN,0
2013-12-31,91.59,92.17,88.5561,92.168,93.1942,DOWN,0
2014-01-02,91.03,91.14,88.6169,91.962,93.1908,UP,1
2014-01-03,91.85,91.29,88.6789,91.824,93.1806,UP,1
2014-01-06,92.33,91.93,88.7455,91.82,93.1852,UP,1
2014-01-07,94.29,93.04,88.8183,92.218,93.224,DOWN,0
2014-01-08,94.16,94.17,88.8907,92.732,93.2654,UP,1
2014-01-09,94.73,94.94,88.9601,93.472,93.3122,UP,1
2014-01-10,94.74,94.64,89.0274,94.05,93.3442,DOWN,0
2014-01-13,94.5,94.37,89.0923,94.484,93.3784,UP,1
2014-01-14,94.72,94.6,89.1562,94.57,93.4206,UP,1
2014-01-15,94.8,94.65,89.2168,94.698,93.4492,DOWN,0
2014-01-16,94.64,94.6,89.2796,94.68,93.4814,UP,1
2014-01-17,95.06,94.72,89.3429,94.744,93.5264,DOWN,0
2014-01-21,94.03,94.93,89.4028,94.65,93.5462,UP,1
2014-01-22,94.32,93.99,89.4689,94.57,93.5788,DOWN,0
2014-01-23,92.74,93.74,89.525,94.158,93.5526,DOWN,0
2014-01-24,90.61,92.12,89.5679,93.352,93.479,DOWN,0
2014-01-27,89.94,90.3,89.606,92.328,93.4066,UP,1
2014-01-28,90.1,90.58,89.6428,91.542,93.3418,DOWN,0
2014-01-29,88.9,89.47,89.6788,90.458,93.2414,UP,1
2014-01-30,89.5,89.62,89.7091,89.81,93.1436,DOWN,0
2014-01-31,88.47,89.01,89.7319,89.382,93.027,DOWN,0
2014-02-03,86.78,88.75,89.7499,88.75,92.8654,DOWN,0
2014-02-04,86.62,86.93,89.7606,88.054,92.6948,UP,1
2014-02-05,87.28,86.49,89.7728,87.73,92.5364,UP,1
2014-02-06,88.75,87.63,89.7893,87.58,92.4064,UP,1
2014-02-07,90.04,88.92,89.8176,87.894,92.2946,UP,1
2014-02-10,91.07,90.24,89.8468,88.752,92.2148,UP,1
2014-02-11,92.97,91.09,89.8861,90.022,92.1746,DOWN,0
2014-02-12,92.42,92.95,89.9203,91.05,92.1298,UP,1
2014-02-13,92.56,92.0,89.9569,91.812,92.0954,UP,1
2014-02-14,92.76,92.6,89.9996,92.356,92.0712,DOWN,0
2014-02-18,92.17,92.77,90.0346,92.576,92.042,DOWN,0
