ticker,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,DVA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2019-04-05,55.95,55.14,63.5511,55.17,55.3452,DOWN,0
2019-04-08,55.24,55.82,63.4651,55.234,55.3082,DOWN,0
2019-04-09,55.11,55.0,63.3803,55.336,55.289,UP,1
2019-04-10,55.9,54.97,63.3,55.462,55.2748,DOWN,0
2019-04-11,54.63,55.98,63.2166,55.366,55.2506,DOWN,0
2019-04-12,54.54,54.99,63.1318,55.084,55.2188,UP,1
2019-04-15,55.17,54.79,63.0536,55.07,55.1962,UP,1
2019-04-16,55.32,55.6,62.9795,55.112,55.1706,DOWN,0
2019-04-17,51.05,55.43,62.8875,54.142,55.0546,UP,1
2019-04-18,52.23,51.08,62.8013,53.662,54.9762,DOWN,0
2019-04-22,51.1,52.24,62.7109,52.974,54.8576,UP,1
2019-04-23,53.03,51.21,62.6297,52.546,54.7956,UP,1
2019-04-24,54.03,53.21,62.5488,52.288,54.7564,DOWN,0
2019-04-25,53.89,53.79,62.4651,52.856,54.687,UP,1
2019-04-26,55.61,54.15,62.3902,53.532,54.6408,UP,1
2019-04-29,56.15,55.74,62.3227,54.542,54.602,DOWN,0
2019-04-30,55.24,56.22,62.2414,54.984,54.5248,UP,1
2019-05-01,55.6,55.51,62.1606,55.298,54.454,UP,1
2019-05-02,56.51,55.6,62.0846,55.822,54.403,UP,1
2019-05-03,56.99,56.61,62.0129,56.098,54.3586,UP,1
2019-05-06,57.79,55.92,61.9488,56.426,54.3404,DOWN,0
2019-05-07,56.6,57.09,61.879,56.698,54.3076,DOWN,0
2019-05-08,51.76,54.25,61.7879,55.93,54.183,UP,1
2019-05-09,52.38,51.16,61.6954,55.104,54.0922,DOWN,0
2019-05-10,52.11,52.29,61.6056,54.128,53.9964,DOWN,0
2019-05-13,51.18,50.93,61.5141,52.806,53.879,UP,1
2019-05-14,51.24,51.15,61.4194,51.734,53.795,DOWN,0
2019-05-15,50.22,50.71,61.3221,51.426,53.7374,DOWN,0
2019-05-16,50.0,50.26,61.2231,50.95,53.7166,DOWN,0
2019-05-17,49.23,49.49,61.1178,50.374,53.6904,DOWN,0
2019-05-20,48.87,49.1,61.0105,49.912,53.6688,UP,1
2019-05-21,49.6,49.1,60.888,49.584,53.6514,DOWN,0
2019-05-22,49.25,49.35,60.7615,49.39,53.6098,DOWN,0
2019-05-23,48.15,48.72,60.6371,49.02,53.5008,DOWN,0
2019-05-24,47.56,48.24,60.5107,48.686,53.3804,DOWN,0
2019-05-28,46.92,47.75,60.3786,48.296,53.2482,DOWN,0
2019-05-29,44.39,46.51,60.2373,47.254,53.0946,UP,1
2019-05-30,44.64,44.5,60.1015,46.332,52.9092,DOWN,0
