ticker,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,OKTA US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-11-13,55.0,55.16,58.598,62.788,50.7922,DOWN,0
2018-11-14,54.86,55.87,57.05,62.6876,50.9193,UP,1
2018-11-15,58.02,54.58,56.356,62.644,51.0601,DOWN,0
2018-11-16,57.71,57.65,56.042,62.3598,51.2021,DOWN,0
2018-11-19,48.67,57.11,54.852,61.8916,51.3028,DOWN,0
2018-11-20,47.82,43.95,53.416,61.39,51.3977,UP,1
2018-11-21,51.69,48.98,52.782,60.9404,51.5092,UP,1
2018-11-23,52.05,50.2,51.588,60.5316,51.6266,UP,1
2018-11-26,55.03,52.72,51.052,60.1896,51.7574,DOWN,0
2018-11-27,53.48,54.53,52.014,59.869,51.8717,UP,1
