ticker,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,EMN US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-10-24,19.5625,18.75,22.0978,18.7375,20.4872,DOWN,0
2000-10-25,19.0313,19.375,22.0721,18.8375,20.4106,UP,1
2000-10-26,19.625,19.0625,22.0456,19.1125,20.3394,UP,1
2000-10-27,19.7813,19.6563,22.0212,19.3438,20.2756,UP,1
2000-10-30,21.4688,19.75,22.0073,19.8938,20.2444,DOWN,0
2000-10-31,21.4375,21.3125,21.9962,20.2688,20.2156,DOWN,0
2000-11-01,20.9063,21.5,21.9863,20.6438,20.1741,UP,1
2000-11-02,20.9688,21.0,21.979,20.9125,20.1428,UP,1
2000-11-03,21.4375,20.9688,21.977,21.2438,20.1203,UP,1
2000-11-06,21.5313,21.3125,21.9756,21.2563,20.0991,UP,1
2000-11-07,21.6563,21.5,21.9812,21.3,20.0884,UP,1
2000-11-08,21.6875,21.7188,21.9837,21.4563,20.0803,DOWN,0
2000-11-09,21.375,21.5,21.9835,21.5375,20.0697,DOWN,0
2000-11-10,21.2188,21.25,21.9898,21.4938,20.0628,DOWN,0
2000-11-13,21.2188,21.0,21.9962,21.4313,20.0572,UP,1
2000-11-14,22.0,21.2188,22.007,21.5,20.0522,UP,1
2000-11-15,22.25,22.0,22.0188,21.6125,20.0322,DOWN,0
2000-11-16,21.2188,22.125,22.0246,21.5813,20.0034,UP,1
2000-11-17,21.3125,21.125,22.031,21.6,19.9953,DOWN,0
2000-11-20,21.0313,21.3438,22.0365,21.5625,19.9834,UP,1
2000-11-21,21.0938,20.9063,22.0421,21.3813,19.9753,DOWN,0
2000-11-22,20.7188,20.875,22.0457,21.075,19.9556,UP,1
2000-11-24,20.9688,20.8438,22.0532,21.025,19.9506,DOWN,0
2000-11-27,20.9375,21.0938,22.0615,20.95,19.9525,DOWN,0
2000-11-28,20.75,20.8125,22.0684,20.8938,19.9594,UP,1
2000-11-29,21.5313,20.6563,22.0773,20.9813,19.9888,UP,1
2000-11-30,21.5938,21.375,22.0874,21.1563,20.0281,UP,1
2000-12-01,22.1875,21.6563,22.1018,21.4,20.0856,DOWN,0
2000-12-04,22.0938,22.0625,22.119,21.6313,20.1444,UP,1
2000-12-05,22.5313,22.2813,22.1326,21.9875,20.2231,UP,1
2000-12-06,22.625,22.375,22.1498,22.2063,20.31,DOWN,0
2000-12-07,22.5313,22.5,22.1712,22.3938,20.3944,UP,1
