ticker,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,ZS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2022-01-03,301.83,322.6,319.118,325.1852,249.4541,DOWN,0
2022-01-04,281.58,297.965,310.502,324.6594,249.9489,DOWN,0
2022-01-05,262.33,275.01,298.332,323.682,250.3456,DOWN,0
2022-01-06,260.21,261.0,285.456,322.5798,250.7711,UP,1
2022-01-07,261.53,258.38,273.496,321.6084,251.2145,UP,1
2022-01-10,275.65,254.5,268.26,320.7946,251.7439,UP,1
2022-01-11,277.53,270.45,267.45,319.968,252.3028,DOWN,0
2022-01-12,273.98,283.11,269.78,319.074,252.8437,DOWN,0
2022-01-13,250.47,274.65,267.832,317.566,253.2377,UP,1
2022-01-14,254.74,248.0,266.474,316.1108,253.6326,UP,1
2022-01-18,259.2,251.49,263.184,314.6568,254.0526,DOWN,0
2022-01-19,253.11,258.88,258.3,312.9492,254.4076,DOWN,0
2022-01-20,250.67,256.51,253.638,310.9592,254.7608,DOWN,0
2022-01-21,241.94,249.3274,251.932,308.7458,255.0446,UP,1
2022-01-24,243.2,234.99,249.624,306.8676,255.3354,DOWN,0
2022-01-25,228.88,239.84,243.56,304.5728,255.5379,DOWN,0
2022-01-26,226.85,236.91,238.308,302.1284,255.6889,DOWN,0
2022-01-27,223.08,229.86,232.79,299.674,255.8423,UP,1
2022-01-28,238.7,226.51,232.142,297.373,256.0562,UP,1
2022-01-31,257.11,240.36,234.924,295.3952,256.3793,UP,1
2022-02-01,261.09,260.0,241.366,293.304,256.7301,DOWN,0
2022-02-02,257.5,261.72,247.496,291.0784,257.0872,DOWN,0
2022-02-03,245.02,249.26,251.884,289.1016,257.3817,UP,1
2022-02-04,258.98,247.43,255.94,287.559,257.7264,UP,1
2022-02-07,262.92,260.165,257.102,285.968,258.0897,UP,1
2022-02-08,270.71,260.57,259.026,284.6442,258.4598,UP,1
2022-02-09,280.85,276.0,263.696,283.1428,258.8844,UP,1
2022-02-10,284.1,276.52,271.512,281.8854,259.3278,DOWN,0
2022-02-11,273.0,285.07,274.316,280.9812,259.7564,UP,1
2022-02-14,274.43,273.52,276.618,279.8304,260.1904,UP,1
2022-02-15,285.82,280.24,279.64,279.2798,260.7165,DOWN,0
2022-02-16,280.87,284.11,279.644,279.41,261.2435,DOWN,0
2022-02-17,261.94,280.9033,275.212,278.6936,261.6917,DOWN,0
2022-02-18,255.22,264.52,271.656,277.5618,262.131,DOWN,0
2022-02-22,254.81,251.56,267.732,276.5972,262.5585,DOWN,0
2022-02-23,239.4,262.5,258.448,275.2702,262.9266,UP,1
2022-02-24,263.38,227.62,254.95,274.367,263.3901,DOWN,0
2022-02-25,221.85,224.49,246.932,273.1172,263.6789,UP,1
2022-02-28,239.15,228.42,243.718,271.7554,264.0701,UP,1
2022-03-01,247.83,245.1,242.322,270.807,264.4825,UP,1
2022-03-02,254.41,253.26,245.324,269.7978,264.9382,DOWN,0
2022-03-03,242.03,252.98,241.054,268.5196,265.3158,DOWN,0
2022-03-04,225.5,242.36,241.784,266.6412,265.6193,DOWN,0
2022-03-07,204.37,228.37,234.828,264.2884,265.7875,DOWN,0
2022-03-08,198.63,203.5,224.988,261.801,265.9302,UP,1
2022-03-09,212.35,203.84,216.576,259.4502,266.12,DOWN,0
2022-03-10,208.41,212.13,209.852,257.1252,266.2983,DOWN,0
2022-03-11,201.14,211.02,204.98,254.6844,266.333,DOWN,0
2022-03-14,189.53,200.0,202.012,251.9832,266.3094,UP,1
2022-03-15,196.61,190.85,201.608,249.4888,266.3214,UP,1
2022-03-16,207.03,200.6,200.544,247.5928,266.3977,UP,1
2022-03-17,214.83,204.41,201.828,246.2578,266.5152,UP,1
2022-03-18,222.71,213.81,206.142,245.4654,266.7075,DOWN,0
2022-03-21,220.86,217.59,212.408,244.6784,266.8828,UP,1
2022-03-22,232.39,219.7,219.564,244.0956,267.0811,UP,1
2022-03-23,233.38,229.46,224.834,243.2502,267.2747,UP,1
2022-03-24,235.79,233.3,229.026,242.4154,267.4737,DOWN,0
2022-03-25,230.32,237.52,230.548,241.5422,267.6008,UP,1
2022-03-28,237.93,231.6,233.962,241.2914,267.7515,UP,1
2022-03-29,243.99,242.17,236.282,241.0764,267.9143,DOWN,0
2022-03-30,239.9,242.41,237.586,240.6904,268.0768,UP,1
2022-03-31,241.28,240.55,238.684,240.4538,268.2219,UP,1
2022-04-01,246.21,240.0,241.862,240.3646,268.3772,UP,1
2022-04-04,252.11,247.67,244.698,240.568,268.5448,DOWN,0
