ticker,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,IDXX US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-29,5.5,5.4688,5.1692,5.6031,6.2328,UP,1
2000-06-30,5.7188,5.4688,5.1757,5.625,6.2241,DOWN,0
2000-07-03,5.6875,5.5313,5.182,5.6063,6.2091,DOWN,0
2000-07-05,5.4688,5.5625,5.1881,5.5719,6.1941,UP,1
2000-07-06,5.5313,5.4844,5.1944,5.5813,6.18,DOWN,0
2000-07-07,5.5,5.5313,5.2007,5.5813,6.1638,DOWN,0
2000-07-10,5.3594,5.4219,5.2071,5.5094,6.1441,UP,1
2000-07-11,5.375,5.4063,5.2139,5.4469,6.1203,DOWN,0
2000-07-12,5.3438,5.4688,5.2196,5.4219,6.0866,DOWN,0
2000-07-13,5.2969,5.3281,5.2258,5.375,6.0597,DOWN,0
2000-07-14,5.25,5.25,5.2313,5.325,6.0381,UP,1
2000-07-17,5.2969,5.2969,5.2363,5.3125,6.0166,UP,1
2000-07-18,5.6719,5.3594,5.2434,5.3719,6.0006,DOWN,0
2000-07-19,5.5313,5.6875,5.2498,5.4094,5.9763,UP,1
2000-07-20,5.5938,5.625,5.2575,5.4688,5.9538,DOWN,0
2000-07-21,5.25,5.625,5.2637,5.4688,5.9297,UP,1
2000-07-24,5.9063,5.4219,5.273,5.5906,5.9131,DOWN,0
2000-07-25,5.6875,6.0156,5.2805,5.5938,5.8931,UP,1
2000-07-26,6.0156,5.6875,5.2902,5.6906,5.8766,DOWN,0
2000-07-27,5.875,6.0,5.2994,5.7469,5.8559,DOWN,0
2000-07-28,5.875,5.9453,5.3088,5.8719,5.8397,UP,1
2000-07-31,6.0625,5.8594,5.3195,5.9031,5.8313,UP,1
2000-08-01,6.2969,6.0156,5.3326,6.025,5.8272,DOWN,0
2000-08-02,6.1406,6.25,5.3447,6.05,5.8238,UP,1
2000-08-03,6.3125,6.1875,5.3567,6.1375,5.8238,UP,1
2000-08-04,6.375,6.3125,5.3696,6.2375,5.8238,UP,1
2000-08-07,6.5,6.3125,5.3835,6.325,5.8288,DOWN,0
2000-08-08,6.375,6.4375,5.3966,6.3406,5.835,UP,1
2000-08-09,6.4063,6.3438,5.4102,6.3938,5.8394,DOWN,0
2000-08-10,6.375,6.4063,5.4237,6.4063,5.8428,UP,1
2000-08-11,6.6875,6.375,5.4386,6.4688,5.8541,DOWN,0
2000-08-14,6.6719,6.5,5.4532,6.5031,5.8606,UP,1
2000-08-15,6.75,6.6797,5.468,6.5781,5.8756,UP,1
2000-08-16,6.7656,6.6875,5.483,6.65,5.8828,UP,1
2000-08-17,6.7969,6.75,5.4973,6.7344,5.8884,UP,1
2000-08-18,6.8281,6.6875,5.5103,6.7625,5.9009,UP,1
2000-08-21,6.9063,6.8281,5.5248,6.8094,5.9166,DOWN,0
2000-08-22,6.875,6.875,5.5384,6.8344,5.9416,UP,1
2000-08-23,6.9531,6.9688,5.5529,6.8719,5.9638,DOWN,0
2000-08-24,6.8594,6.9531,5.567,6.8844,5.9819,DOWN,0
2000-08-25,6.7813,6.8906,5.5806,6.875,5.9991,DOWN,0
2000-08-28,6.5469,6.7031,5.591,6.8031,6.0122,UP,1
2000-08-29,6.7344,6.5313,5.6024,6.775,6.0294,UP,1
2000-08-30,6.8125,6.8047,5.6147,6.7469,6.0503,DOWN,0
2000-08-31,6.5313,6.7813,5.6239,6.6813,6.0641,UP,1
2000-09-01,6.75,6.5313,5.6335,6.675,6.0869,DOWN,0
2000-09-05,6.3594,6.7344,5.6408,6.6375,6.1019,DOWN,0
2000-09-06,6.3594,6.3594,5.6487,6.5625,6.1134,UP,1
2000-09-07,6.4844,6.4063,5.6591,6.4969,6.1303,DOWN,0
2000-09-08,6.4688,6.5,5.6696,6.4844,6.15,UP,1
2000-09-11,6.6094,6.4922,5.6801,6.4563,6.1722,DOWN,0
2000-09-12,6.5938,6.7422,5.6903,6.5031,6.1897,UP,1
2000-09-13,6.6875,6.6094,5.7003,6.5688,6.2097,DOWN,0
2000-09-14,6.6719,6.7344,5.7105,6.6063,6.2338,DOWN,0
2000-09-15,6.4688,6.375,5.7205,6.6063,6.2525,UP,1
2000-09-18,6.5781,6.4844,5.7309,6.6,6.2741,DOWN,0
2000-09-19,6.4375,6.5625,5.7402,6.5688,6.2956,DOWN,0
2000-09-20,6.4063,6.4375,5.7509,6.5125,6.3163,DOWN,0
2000-09-21,6.4063,6.4141,5.761,6.4594,6.3375,UP,1
2000-09-22,6.4375,6.3906,5.771,6.4531,6.3603,DOWN,0
2000-09-25,6.125,6.4219,5.7795,6.3625,6.3778,UP,1
2000-09-26,6.2656,6.1406,5.7887,6.3281,6.3972,UP,1
2000-09-27,6.2813,6.2031,5.7981,6.3031,6.4094,UP,1
2000-09-28,6.875,6.2813,5.8106,6.3969,6.4363,DOWN,0
2000-09-29,6.6875,6.8594,5.8216,6.4469,6.4581,DOWN,0
2000-10-02,6.1094,6.6719,5.8302,6.4438,6.4753,DOWN,0
2000-10-03,6.0469,6.2188,5.8388,6.4,6.4781,DOWN,0
2000-10-04,5.9219,6.125,5.8459,6.3281,6.4828,UP,1
2000-10-05,6.0938,5.9414,5.8545,6.1719,6.4844,DOWN,0
2000-10-06,5.8594,6.1094,5.8623,6.0063,6.4841,DOWN,0
2000-10-09,5.4063,5.8438,5.8681,5.8656,6.4747,UP,1
2000-10-10,5.4531,5.4375,5.8752,5.7469,6.4625,DOWN,0
2000-10-11,5.4375,5.4688,5.882,5.65,6.4453,UP,1
2000-10-12,5.5625,5.4531,5.8895,5.5438,6.4338,DOWN,0
2000-10-13,5.5313,5.5781,5.8972,5.4781,6.4181,UP,1
2000-10-16,6.1563,5.4375,5.9078,5.6281,6.4138,DOWN,0
2000-10-17,5.8438,6.1016,5.917,5.7063,6.4006,UP,1
2000-10-18,5.9688,5.8438,5.9285,5.8125,6.3925,UP,1
2000-10-19,6.5313,5.9688,5.9423,6.0063,6.395,UP,1
2000-10-20,6.7344,6.5,5.9573,6.2469,6.4022,DOWN,0
2000-10-23,6.6719,6.7344,5.9709,6.35,6.4019,DOWN,0
2000-10-24,6.2031,6.6563,5.9814,6.4219,6.3925,UP,1
2000-10-25,6.2656,6.1875,5.9905,6.4813,6.3828,UP,1
2000-10-26,6.3125,6.2813,6.0002,6.4375,6.3738,DOWN,0
2000-10-27,6.2344,6.3281,6.0092,6.3375,6.3625,DOWN,0
2000-10-30,6.1094,6.2031,6.0177,6.225,6.3481,DOWN,0
2000-10-31,6.0,6.0938,6.0263,6.1844,6.33,DOWN,0
2000-11-01,5.9531,6.0508,6.0349,6.1219,6.3116,UP,1
2000-11-02,6.1133,5.9805,6.0449,6.082,6.2948,DOWN,0
2000-11-03,6.1094,6.1094,6.0549,6.057,6.2798,UP,1
