ticker,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,ADSK US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2007-02-20,42.19,42.26,37.034,42.204,42.1562,DOWN,0
2007-02-21,42.02,42.2,37.0452,42.342,42.1506,UP,1
2007-02-22,42.13,41.94,37.0562,42.232,42.1582,UP,1
2007-02-23,42.47,42.39,37.0691,42.204,42.1672,DOWN,0
2007-02-26,42.18,42.75,37.0828,42.198,42.1876,DOWN,0
2007-02-27,40.8,41.8,37.0917,41.92,42.1824,UP,1
2007-02-28,41.15,39.6,37.107,41.746,42.1842,DOWN,0
2007-03-01,40.32,40.18,37.1121,41.384,42.1638,DOWN,0
2007-03-02,39.79,39.856,37.1176,40.848,42.1234,DOWN,0
2007-03-05,38.83,39.395,37.1208,40.178,42.0874,UP,1
2007-03-06,39.34,39.01,37.1262,39.886,42.063,DOWN,0
2007-03-07,38.94,39.17,37.1308,39.444,42.0206,DOWN,0
2007-03-08,38.53,39.1,37.136,39.086,41.9832,UP,1
2007-03-09,38.54,38.65,37.1449,38.836,41.9532,DOWN,0
2007-03-12,38.46,38.55,37.1576,38.762,41.911,DOWN,0
2007-03-13,37.44,38.14,37.1618,38.382,41.8442,UP,1
2007-03-14,37.76,37.4,37.1682,38.146,41.7886,DOWN,0
2007-03-15,37.6,37.81,37.1705,37.96,41.7314,DOWN,0
2007-03-16,37.4,37.61,37.175,37.732,41.6682,UP,1
2007-03-19,37.83,37.7,37.1822,37.606,41.5982,UP,1
2007-03-20,38.6,37.83,37.1874,37.838,41.5316,UP,1
2007-03-21,39.69,38.62,37.2032,38.224,41.4894,DOWN,0
2007-03-22,38.95,39.97,37.2223,38.494,41.422,DOWN,0
2007-03-23,38.38,38.95,37.2378,38.69,41.3352,DOWN,0
2007-03-26,38.04,38.55,37.2521,38.732,41.2176,DOWN,0
2007-03-27,37.76,37.89,37.2689,38.564,41.098,DOWN,0
2007-03-28,37.59,37.73,37.2846,38.144,40.9658,DOWN,0
2007-03-29,37.15,37.78,37.2967,37.784,40.819,UP,1
2007-03-30,37.6,37.39,37.3096,37.628,40.7092,UP,1
2007-04-02,38.25,37.75,37.3245,37.67,40.6296,UP,1
2007-04-03,38.49,38.36,37.3335,37.816,40.551,UP,1
2007-04-04,38.87,38.43,37.3438,38.072,40.4744,UP,1
2007-04-05,39.55,38.97,37.3609,38.552,40.4088,DOWN,0
2007-04-09,38.84,39.58,37.3771,38.8,40.3402,UP,1
2007-04-10,40.33,40.14,37.3996,39.216,40.2978,DOWN,0
2007-04-11,39.41,40.19,37.422,39.4,40.242,UP,1
2007-04-12,39.64,39.42,37.4466,39.554,40.1672,DOWN,0
2007-04-13,39.24,39.53,37.4715,39.492,40.0776,UP,1
2007-04-16,39.71,39.5,37.5056,39.666,39.9866,UP,1
2007-04-17,39.81,39.72,37.5404,39.562,39.897,DOWN,0
2007-04-18,39.69,39.39,37.5665,39.618,39.7964,DOWN,0
2007-04-19,39.61,39.4,37.5922,39.612,39.7142,UP,1
2007-04-20,39.65,40.19,37.6158,39.694,39.6614,UP,1
2007-04-23,39.78,39.81,37.644,39.708,39.6118,UP,1
2007-04-24,40.54,39.86,37.6796,39.854,39.584,UP,1
2007-04-25,41.04,40.54,37.7262,40.124,39.5752,UP,1
2007-04-26,41.76,42.01,37.7839,40.554,39.5838,UP,1
2007-04-27,41.99,41.53,37.8396,41.022,39.57,DOWN,0
2007-04-30,41.27,41.77,37.888,41.32,39.5432,UP,1
2007-05-01,41.4,41.25,37.9418,41.492,39.527,UP,1
2007-05-02,41.93,41.31,37.9992,41.67,39.5218,DOWN,0
2007-05-03,41.53,42.05,38.0565,41.624,39.512,UP,1
2007-05-04,41.7,41.61,38.1137,41.566,39.5034,UP,1
2007-05-07,41.9,41.81,38.1662,41.692,39.492,UP,1
2007-05-08,42.71,41.83,38.2232,41.954,39.5026,UP,1
2007-05-09,42.93,42.76,38.2873,42.154,39.5452,DOWN,0
2007-05-10,42.34,42.72,38.3425,42.316,39.569,UP,1
2007-05-11,43.27,42.93,38.3964,42.63,39.628,UP,1
2007-05-14,43.42,43.11,38.4553,42.934,39.7006,DOWN,0
2007-05-15,43.08,43.3,38.5137,43.008,39.7856,UP,1
2007-05-16,43.8,43.22,38.5706,43.182,39.8748,DOWN,0
2007-05-17,43.3,43.85,38.6166,43.374,39.962,UP,1
2007-05-18,44.3,42.5,38.6732,43.58,40.0774,UP,1
2007-05-21,45.13,44.42,38.7351,43.922,40.2092,UP,1
2007-05-22,45.53,44.9,38.794,44.412,40.3506,DOWN,0
2007-05-23,45.51,45.48,38.855,44.754,40.512,DOWN,0
2007-05-24,44.74,45.37,38.9134,45.042,40.6516,UP,1
2007-05-25,44.97,44.96,38.9764,45.176,40.799,DOWN,0
2007-05-29,44.9,44.91,39.0364,45.13,40.949,UP,1
2007-05-30,45.03,44.6,39.0958,45.03,41.093,UP,1
2007-05-31,45.45,44.98,39.1614,45.018,41.23,DOWN,0
2007-06-01,44.9,45.43,39.2242,45.05,41.3342,UP,1
2007-06-04,45.1,44.66,39.2805,45.076,41.4572,DOWN,0
2007-06-05,44.79,44.2,39.3324,45.054,41.5854,DOWN,0
2007-06-06,44.55,44.42,39.3802,44.958,41.7156,DOWN,0
2007-06-07,43.67,43.79,39.4255,44.602,41.8338,UP,1
2007-06-08,44.18,43.05,39.4775,44.458,41.9656,UP,1
2007-06-11,44.83,44.0,39.5346,44.404,42.1192,UP,1
2007-06-12,45.79,44.51,39.595,44.604,42.283,UP,1
2007-06-13,47.04,45.75,39.664,45.102,42.4588,DOWN,0
2007-06-14,45.29,46.05,39.7229,45.426,42.5948,DOWN,0
2007-06-15,45.0,45.78,39.7784,45.59,42.7174,UP,1
2007-06-18,45.5,45.0,39.838,45.724,42.8364,UP,1
2007-06-19,46.5,45.26,39.8992,45.866,42.9896,UP,1
2007-06-20,46.64,46.65,39.9586,45.786,43.1158,UP,1
2007-06-21,47.17,46.62,40.0245,46.162,43.271,DOWN,0
2007-06-22,46.66,46.91,40.0867,46.494,43.4114,UP,1
2007-06-25,46.91,46.6,40.1552,46.776,43.5648,UP,1
2007-06-26,47.14,47.25,40.2335,46.904,43.7134,UP,1
2007-06-27,47.72,46.8,40.3046,47.12,43.8716,UP,1
2007-06-28,47.77,47.6,40.3758,47.24,44.0332,DOWN,0
2007-06-29,47.08,47.73,40.4397,47.324,44.1826,UP,1
2007-07-02,47.29,46.64,40.5034,47.4,44.3354,DOWN,0
2007-07-03,46.1,47.37,40.5614,47.192,44.4618,DOWN,0
2007-07-05,45.79,46.0,40.6114,46.806,44.5668,DOWN,0
2007-07-06,45.2,45.46,40.656,46.292,44.65,DOWN,0
2007-07-09,44.96,45.41,40.7001,45.868,44.714,DOWN,0
2007-07-10,44.9,44.89,40.74,45.39,44.7722,UP,1
2007-07-11,45.38,44.76,40.7843,45.246,44.8544,UP,1
2007-07-12,46.9,45.3,40.8383,45.468,44.9644,UP,1
2007-07-13,47.0,46.92,40.8901,45.828,45.0658,UP,1
2007-07-16,47.03,46.75,40.9515,46.242,45.1758,UP,1
2007-07-17,47.3,47.26,41.0145,46.722,45.2878,DOWN,0
2007-07-18,46.77,47.0,41.0757,47.0,45.3852,UP,1
2007-07-19,47.9,47.0,41.1413,47.2,45.489,DOWN,0
2007-07-20,44.54,45.99,41.1964,46.708,45.5212,UP,1
2007-07-23,44.72,44.85,41.2535,46.246,45.5688,DOWN,0
2007-07-24,44.34,44.5,41.3046,45.654,45.5902,DOWN,0
2007-07-25,44.17,44.45,41.3497,45.134,45.6052,DOWN,0
2007-07-26,43.63,43.51,41.3923,44.28,45.6162,DOWN,0
2007-07-27,43.29,43.67,41.4324,44.03,45.606,UP,1
2007-07-30,43.83,43.24,41.4731,43.852,45.6166,DOWN,0
2007-07-31,42.37,44.0,41.5112,43.458,45.578,UP,1
2007-08-01,43.69,42.17,41.5532,43.362,45.5492,DOWN,0
2007-08-02,41.7,42.9,41.5873,42.976,45.4726,DOWN,0
2007-08-03,40.47,41.7,41.6131,42.412,45.3718,UP,1
2007-08-06,41.46,40.79,41.6464,41.938,45.3062,UP,1
2007-08-07,42.91,41.12,41.6847,42.046,45.265,UP,1
2007-08-08,44.03,43.25,41.7302,42.114,45.2476,DOWN,0
2007-08-09,43.63,43.85,41.773,42.5,45.2196,DOWN,0
2007-08-10,43.1301,43.63,41.809,43.032,45.1732,UP,1
2007-08-13,44.62,43.5,41.8494,43.664,45.1676,DOWN,0
2007-08-14,43.87,44.6,41.8844,43.856,45.143,DOWN,0
2007-08-15,42.61,43.22,41.9111,43.572,45.0994,DOWN,0
2007-08-16,42.61,42.61,41.9431,43.368,45.0606,UP,1
2007-08-17,44.9,44.66,41.9819,43.722,45.0852,UP,1
2007-08-20,46.45,44.6,42.0304,44.088,45.1306,DOWN,0
2007-08-21,45.69,45.41,42.0776,44.452,45.1478,UP,1
2007-08-22,46.08,45.85,42.1279,45.146,45.1536,DOWN,0
2007-08-23,45.04,46.29,42.173,45.632,45.1136,UP,1
2007-08-24,45.55,45.02,42.2206,45.762,45.1188,DOWN,0
2007-08-27,45.47,45.03,42.2707,45.566,45.1282,DOWN,0
2007-08-28,44.03,45.12,42.3133,45.234,45.0988,UP,1
2007-08-29,45.14,44.4,42.3653,45.046,45.0716,UP,1
2007-08-30,45.4,44.93,42.4189,45.118,45.0468,UP,1
2007-08-31,46.32,46.12,42.4738,45.272,45.0298,UP,1
2007-09-04,46.58,46.15,42.5265,45.494,45.0282,UP,1
2007-09-05,46.84,46.34,42.5776,46.056,45.0268,DOWN,0
2007-09-06,46.72,47.0,42.6262,46.372,45.0184,DOWN,0
2007-09-07,45.15,46.45,42.6492,46.322,44.967,UP,1
2007-09-10,45.44,45.51,42.6724,46.146,44.9204,UP,1
2007-09-11,46.55,46.0,42.7005,46.14,44.9098,UP,1
2007-09-12,46.79,46.36,42.7273,46.13,44.8998,UP,1
2007-09-13,47.24,47.06,42.7556,46.234,44.9226,UP,1
2007-09-14,47.56,46.9,42.7907,46.716,44.958,DOWN,0
2007-09-17,47.21,47.34,42.8243,47.07,44.9982,UP,1
2007-09-18,48.85,47.5,42.8656,47.53,45.076,UP,1
2007-09-19,49.9,48.63,42.9092,48.152,45.176,DOWN,0
2007-09-20,49.31,49.5,42.9502,48.566,45.2546,DOWN,0
2007-09-21,48.72,49.63,42.9834,48.798,45.291,DOWN,0
2007-09-24,48.41,48.58,43.0158,49.038,45.3192,UP,1
2007-09-25,49.89,48.23,43.0537,49.246,45.3764,UP,1
2007-09-26,50.1,49.81,43.0955,49.286,45.4324,DOWN,0
2007-09-27,49.8,50.16,43.1344,49.384,45.493,UP,1
2007-09-28,49.97,49.61,43.1784,49.634,45.5344,DOWN,0
2007-10-01,49.82,48.59,43.2222,49.916,45.64,UP,1
2007-10-02,49.91,50.04,43.2665,49.92,45.7438,DOWN,0
2007-10-03,49.6399,49.82,43.308,49.828,45.8498,UP,1
2007-10-04,49.97,49.78,43.3488,49.862,45.9658,UP,1
2007-10-05,50.56,50.08,43.3984,49.98,46.1044,UP,1
2007-10-08,50.75,50.47,43.4494,50.166,46.2536,DOWN,0
2007-10-09,50.75,50.76,43.4978,50.334,46.392,DOWN,0
2007-10-10,50.7,50.71,43.5493,50.546,46.5586,DOWN,0
2007-10-11,49.96,50.76,43.5989,50.544,46.684,UP,1
2007-10-12,50.8,50.25,43.6501,50.592,46.866,DOWN,0
2007-10-15,49.85,50.5,43.6954,50.412,47.0536,DOWN,0
2007-10-16,49.18,49.97,43.7386,50.098,47.208,DOWN,0
2007-10-17,48.37,48.5,43.7782,49.632,47.3172,UP,1
2007-10-18,49.07,48.46,43.8207,49.454,47.418,DOWN,0
2007-10-19,46.96,49.0,43.8489,48.686,47.4846,UP,1
2007-10-22,47.49,46.72,43.8767,48.214,47.5718,DOWN,0
2007-10-23,47.22,46.73,43.9038,47.822,47.6238,DOWN,0
2007-10-24,47.19,46.8,43.9281,47.586,47.6902,UP,1
2007-10-25,47.25,47.54,43.9508,47.222,47.783,UP,1
2007-10-26,47.65,47.545,43.9694,47.36,47.8838,UP,1
2007-10-29,47.71,47.77,43.9893,47.404,47.94,DOWN,0
2007-10-30,46.96,47.59,44.003,47.352,47.9502,UP,1
2007-10-31,48.9,47.3,44.0251,47.694,48.0144,DOWN,0
2007-11-01,47.8,48.16,44.0486,47.804,48.0488,UP,1
2007-11-02,48.81,48.37,44.0815,48.036,48.1242,DOWN,0
2007-11-05,48.1,48.15,44.1099,48.114,48.1752,UP,1
2007-11-06,49.71,49.68,44.145,48.664,48.26,DOWN,0
2007-11-07,48.42,49.38,44.1729,48.568,48.3478,DOWN,0
2007-11-08,47.36,48.2,44.1984,48.48,48.3922,DOWN,0
2007-11-09,46.16,46.51,44.2169,47.95,48.4074,DOWN,0
2007-11-12,44.84,46.02,44.2301,47.298,48.3778,UP,1
2007-11-13,47.99,46.66,44.2532,46.954,48.406,DOWN,0
2007-11-14,47.53,48.63,44.2722,46.776,48.4198,DOWN,0
2007-11-15,47.46,47.28,44.2882,46.796,48.4346,DOWN,0
2007-11-16,46.41,44.87,44.2988,46.846,48.4598,DOWN,0
2007-11-19,46.07,46.31,44.3056,47.092,48.4724,UP,1
2007-11-20,46.34,46.14,44.3187,46.762,48.4682,DOWN,0
2007-11-21,45.23,46.29,44.3334,46.302,48.437,UP,1
2007-11-23,45.79,45.34,44.351,45.968,48.408,DOWN,0
2007-11-26,44.56,45.37,44.3642,45.598,48.348,UP,1
2007-11-27,45.87,44.95,44.3861,45.558,48.3212,UP,1
2007-11-28,46.62,45.9,44.4126,45.614,48.2766,UP,1
2007-11-29,47.46,46.46,44.4365,46.06,48.2278,DOWN,0
2007-11-30,47.09,47.42,44.4589,46.32,48.1834,UP,1
2007-12-03,47.53,46.76,44.4855,46.914,48.1596,UP,1
