ticker,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,MPWR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2016-09-26,76.36,76.04,76.454,74.458,65.9941,UP,1
2016-09-27,78.42,76.43,77.024,74.6094,66.0637,UP,1
2016-09-28,78.935,78.35,77.521,74.7685,66.1414,UP,1
2016-09-29,78.95,79.14,77.839,74.9013,66.2217,UP,1
2016-09-30,80.5,79.27,78.633,75.0805,66.3039,DOWN,0
2016-10-03,79.19,80.23,79.199,75.2227,66.3809,DOWN,0
2016-10-04,79.06,79.46,79.327,75.3397,66.4601,UP,1
2016-10-05,80.02,79.14,79.544,75.4643,66.5445,UP,1
2016-10-06,80.31,80.28,79.816,75.5917,66.6241,DOWN,0
2016-10-07,80.27,80.2,79.77,75.7317,66.7028,UP,1
2016-10-10,80.49,80.6,80.03,75.8871,66.783,DOWN,0
2016-10-11,79.12,80.54,80.042,76.0129,66.8557,DOWN,0
2016-10-12,78.11,78.84,79.66,76.1511,66.9249,DOWN,0
2016-10-13,76.9,77.71,78.978,76.2529,66.9838,UP,1
2016-10-14,77.17,77.48,78.358,76.3507,67.0457,DOWN,0
2016-10-17,76.51,76.95,77.562,76.4213,67.1097,UP,1
2016-10-18,76.98,77.47,77.134,76.5037,67.1898,UP,1
2016-10-19,77.12,76.8,76.936,76.5719,67.2759,DOWN,0
2016-10-20,76.94,76.8,76.944,76.6451,67.366,UP,1
2016-10-21,77.59,76.43,77.028,76.7295,67.4679,UP,1
2016-10-24,79.37,77.89,77.6,76.8459,67.578,DOWN,0
2016-10-25,79.18,79.3,78.04,76.9371,67.6818,UP,1
2016-10-26,79.26,78.81,78.468,77.0471,67.7826,DOWN,0
2016-10-27,79.01,79.96,78.882,77.1521,67.8867,DOWN,0
2016-10-28,77.97,79.15,78.958,77.2257,67.9775,UP,1
2016-10-31,78.81,77.97,78.846,77.3017,68.0845,DOWN,0
2016-11-01,76.49,79.27,78.308,77.3195,68.1804,UP,1
2016-11-02,76.51,76.67,77.758,77.3315,68.2718,DOWN,0
2016-11-03,76.44,76.83,77.244,77.3599,68.3538,UP,1
2016-11-04,76.69,76.19,76.988,77.3879,68.4293,UP,1
2016-11-07,78.56,77.73,76.938,77.4253,68.5153,UP,1
