ticker,APD US Equity,APD US Equity,APD US Equity,APD US Equity,APD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-06-29,30.2197,29.8153,28.268,29.8203,30.842,DOWN,0
2000-06-30,28.4863,29.6419,28.2576,29.7856,30.8963,UP,1
2000-07-03,28.7752,28.5441,28.2524,29.7856,30.9194,UP,1
2000-07-05,29.0641,29.2374,28.2463,29.4621,30.9171,DOWN,0
2000-07-06,28.5441,29.2952,28.2411,29.0179,30.8824,DOWN,0
2000-07-07,27.9662,28.6596,28.2391,28.5672,30.872,DOWN,0
2000-07-10,27.6773,27.7351,28.2382,28.4054,30.857,UP,1
2000-07-11,28.1974,27.4462,28.2394,28.2898,30.8466,DOWN,0
2000-07-12,27.8507,27.9662,28.2388,28.0471,30.82,UP,1
2000-07-13,28.5441,28.1974,28.2446,28.0471,30.798,UP,1
2000-07-14,29.0641,28.3129,28.2608,28.2667,30.8142,DOWN,0
2000-07-17,28.4863,29.5841,28.268,28.4285,30.8108,DOWN,0
2000-07-18,28.0818,28.4285,28.2738,28.4054,30.7923,DOWN,0
2000-07-19,27.6773,28.024,28.2726,28.3707,30.768,UP,1
2000-07-20,28.1396,28.6596,28.2735,28.2898,30.7703,UP,1
2000-07-21,29.0641,28.4285,28.2775,28.2898,30.7749,UP,1
2000-07-24,29.5841,29.9308,28.2842,28.5094,30.7241,UP,1
2000-07-25,30.1619,29.7575,28.2888,28.9254,30.6663,DOWN,0
2000-07-26,30.1619,30.5086,28.2992,29.4223,30.6259,UP,1
2000-07-27,30.4509,29.9308,28.3171,29.8846,30.6051,UP,1
2000-07-28,30.5086,30.2775,28.3359,30.1735,30.5819,UP,1
2000-07-31,30.8553,30.5664,28.3561,30.4277,30.5525,DOWN,0
2000-08-01,30.8553,30.8553,28.3838,30.5664,30.5039,DOWN,0
2000-08-02,30.7398,30.5086,28.4101,30.682,30.4421,UP,1
2000-08-03,31.4331,30.5664,28.4384,30.8784,30.3566,DOWN,0
2000-08-04,31.4331,31.4331,28.4676,31.0633,30.2953,UP,1
2000-08-07,31.6065,30.9709,28.4994,31.2136,30.2699,UP,1
2000-08-08,31.8954,31.6643,28.5335,31.4216,30.2711,UP,1
2000-08-09,32.011,32.2421,28.565,31.6758,30.2711,DOWN,0
2000-08-10,31.6643,32.2421,28.5971,31.722,30.2641,UP,1
2000-08-11,32.4732,31.4331,28.6268,31.9301,30.2422,UP,1
2000-08-14,33.051,32.3576,28.6655,32.219,30.2295,DOWN,0
2000-08-15,32.9932,32.7043,28.7034,32.4385,30.2237,UP,1
2000-08-16,33.4555,32.9932,28.7409,32.7274,30.2422,UP,1
2000-08-17,34.1489,33.2244,28.7817,33.2244,30.2873,DOWN,0
2000-08-18,32.9355,34.1489,28.8204,33.3168,30.3219,DOWN,0
2000-08-21,32.9355,32.8777,28.8568,33.2937,30.3566,DOWN,0
2000-08-22,32.9355,32.8777,28.8975,33.2821,30.3924,UP,1
2000-08-23,34.0333,33.2821,28.9455,33.3977,30.4502,UP,1
2000-08-24,34.4956,33.86,28.9949,33.467,30.5034,UP,1
2000-08-25,34.6689,34.7267,29.0417,33.8137,30.5531,DOWN,0
2000-08-28,34.6689,34.6111,29.0865,34.1604,30.6039,UP,1
2000-08-29,34.9578,34.8422,29.1174,34.5649,30.6721,DOWN,0
2000-08-30,34.1489,34.7267,29.1408,34.588,30.7588,DOWN,0
2000-08-31,33.5891,33.7444,29.1568,34.4067,30.8527,UP,1
2000-09-01,33.8022,33.5711,29.1703,34.2334,30.9475,UP,1
2000-09-05,34.7267,34.2066,29.1909,34.2449,31.0688,UP,1
2000-09-06,36.0557,34.6689,29.2241,34.4645,31.2144,DOWN,0
2000-09-07,34.2066,35.709,29.2492,34.4761,31.2849,DOWN,0
2000-09-08,33.2821,33.9755,29.2674,34.4147,31.3353,DOWN,0
2000-09-11,32.8777,33.2821,29.2821,34.2298,31.3884,DOWN,0
2000-09-12,32.8199,32.9355,29.2975,33.8484,31.4751,DOWN,0
2000-09-13,32.2999,32.8199,29.3122,33.0972,31.5456,UP,1
2000-09-14,32.5888,32.2999,29.3255,32.7737,31.6161,DOWN,0
2000-09-15,32.2999,32.1265,29.3379,32.5772,31.6912,DOWN,0
2000-09-18,31.6354,32.1265,29.3453,32.3287,31.7646,DOWN,0
2000-09-19,31.6065,31.3176,29.3571,32.0861,31.8432,DOWN,0
2000-09-20,30.9709,31.2598,29.3664,31.8203,31.8986,DOWN,0
2000-09-21,30.9131,30.7398,29.3785,31.4851,31.9599,UP,1
2000-09-22,31.3176,30.9709,29.3889,31.2887,32.0154,DOWN,0
2000-09-25,30.8553,31.202,29.3979,31.1327,32.0512,DOWN,0
2000-09-26,30.5664,30.7398,29.4045,30.9247,32.0928,UP,1
2000-09-27,30.9709,30.5086,29.4184,30.9247,32.1506,UP,1
2000-09-28,32.5888,30.9131,29.4351,31.2598,32.2488,UP,1
2000-09-29,33.2821,32.5888,29.4577,31.6527,32.3516,DOWN,0
2000-10-02,33.1088,33.5133,29.4802,32.1034,32.4325,UP,1
2000-10-03,34.1489,33.4555,29.5056,32.8199,32.5238,UP,1
2000-10-04,34.2644,34.38,29.5357,33.4786,32.6059,UP,1
2000-10-05,35.0156,34.4956,29.5752,33.964,32.703,UP,1
2000-10-06,35.1889,34.7845,29.6166,34.3453,32.7977,UP,1
2000-10-09,35.3045,35.1889,29.6506,34.7845,32.8936,UP,1
2000-10-10,35.4201,35.5356,29.685,35.0387,32.9849,DOWN,0
2000-10-11,35.1889,35.6512,29.7159,35.2236,33.0716,DOWN,0
2000-10-12,34.0911,34.9578,29.7315,35.0387,33.1386,DOWN,0
2000-10-13,33.2244,33.5133,29.7445,34.6458,33.1745,UP,1
2000-10-16,33.7444,32.7043,29.7581,34.3338,33.2207,DOWN,0
2000-10-17,33.1666,33.9755,29.7723,33.8831,33.2519,DOWN,0
2000-10-18,32.9932,33.051,29.7902,33.4439,33.2738,DOWN,0
2000-10-19,30.4509,31.8954,29.7945,32.7159,33.2426,UP,1
