ticker,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,MTCH US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2021-11-11,149.75,154.68,155.206,157.4474,151.192,DOWN,0
2021-11-12,146.95,150.15,152.45,157.4442,151.2274,UP,1
2021-11-15,148.42,147.2,150.952,157.4488,151.2398,DOWN,0
2021-11-16,146.75,147.7,149.184,157.1966,151.2231,UP,1
2021-11-17,147.61,146.8,147.896,156.983,151.2705,DOWN,0
2021-11-18,142.39,147.49,146.424,156.6766,151.2293,DOWN,0
2021-11-19,140.95,141.92,145.224,156.208,151.135,DOWN,0
2021-11-22,137.01,141.99,142.942,155.708,151.025,DOWN,0
2021-11-23,135.07,137.56,140.606,155.2622,150.906,UP,1
2021-11-24,137.41,133.94,138.566,154.8326,150.7377,DOWN,0
2021-11-26,133.67,134.86,136.822,154.3048,150.5454,UP,1
2021-11-29,134.08,135.74,135.448,153.8436,150.3682,DOWN,0
2021-11-30,129.99,133.03,134.044,153.4142,150.1938,DOWN,0
2021-12-01,127.48,133.31,132.526,152.9254,150.0272,UP,1
2021-12-02,128.28,127.69,130.7,152.418,149.8574,DOWN,0
2021-12-03,126.19,129.08,129.204,151.8464,149.6836,UP,1
2021-12-06,129.44,125.96,128.276,151.217,149.5473,UP,1
2021-12-07,134.45,131.96,129.168,150.6132,149.4129,UP,1
2021-12-08,135.6,134.0,130.792,150.1954,149.2869,DOWN,0
2021-12-09,132.21,134.71,131.578,149.792,149.1894,DOWN,0
2021-12-10,130.34,133.96,132.408,149.259,149.0768,DOWN,0
2021-12-13,126.2,129.92,131.76,148.6104,148.9252,DOWN,0
2021-12-14,122.81,124.07,129.432,148.0136,148.7767,UP,1
2021-12-15,123.81,123.27,127.074,147.3998,148.6591,UP,1
2021-12-16,124.44,124.87,125.52,146.7424,148.563,UP,1
2021-12-17,126.65,123.18,124.782,146.0768,148.4648,DOWN,0
2021-12-20,125.84,124.0,124.71,145.4428,148.3662,UP,1
2021-12-21,131.49,126.67,126.446,144.9598,148.2631,DOWN,0
2021-12-22,131.39,131.0,127.962,144.4116,148.1858,UP,1
2021-12-23,133.44,131.6,129.762,143.9012,148.0762,UP,1
2021-12-27,134.01,133.73,131.234,143.4412,147.9794,DOWN,0
2021-12-28,132.94,134.05,132.654,142.8996,147.8744,DOWN,0
2021-12-29,130.0,132.24,132.356,142.335,147.7535,UP,1
2021-12-30,133.2,130.0,132.718,141.7852,147.6474,DOWN,0
2021-12-31,132.25,133.2,132.48,141.247,147.573,UP,1
2022-01-03,134.23,132.895,132.524,140.421,147.4806,DOWN,0
2022-01-04,132.97,136.99,132.53,139.694,147.371,DOWN,0
2022-01-05,125.52,132.03,131.634,138.8514,147.2692,UP,1
2022-01-06,126.06,125.49,130.206,138.1086,147.2005,DOWN,0
2022-01-07,125.27,125.91,128.81,137.4448,147.1538,UP,1
2022-01-10,126.56,123.5,127.276,136.8548,147.0953,DOWN,0
2022-01-11,126.0,126.12,125.882,136.3592,147.0595,DOWN,0
2022-01-12,124.08,127.88,125.594,135.759,147.0225,DOWN,0
2022-01-13,123.2,128.7982,125.022,135.252,146.9516,DOWN,0
2022-01-14,121.15,122.1,124.198,134.6162,146.8441,DOWN,0
2022-01-18,115.87,118.14,122.06,133.794,146.7027,UP,1
2022-01-19,116.27,115.76,120.114,132.9048,146.5683,UP,1
2022-01-20,118.66,118.0439,119.03,132.1598,146.4523,DOWN,0
2022-01-21,115.84,118.56,117.558,131.3648,146.3038,UP,1
2022-01-24,117.25,112.61,116.778,130.6288,146.1707,DOWN,0
2022-01-25,111.7,113.84,115.944,129.8678,146.0065,DOWN,0
2022-01-26,110.17,113.53,114.724,129.1322,145.8266,DOWN,0
2022-01-27,106.5,111.96,112.292,128.2938,145.6382,UP,1
2022-01-28,109.22,106.62,110.968,127.5432,145.452,UP,1
2022-01-31,112.7,108.04,110.058,126.845,145.289,DOWN,0
2022-02-01,112.09,112.68,110.136,126.239,145.1194,UP,1
2022-02-02,118.01,113.48,111.704,125.7802,145.0109,DOWN,0
2022-02-03,111.98,115.0,112.8,125.2796,144.8655,UP,1
2022-02-04,115.98,111.34,114.152,124.8978,144.728,DOWN,0
2022-02-07,113.41,116.52,114.294,124.4178,144.55,DOWN,0
2022-02-08,112.42,112.74,114.36,123.9928,144.3496,UP,1
2022-02-09,117.19,115.0,114.196,123.655,144.1466,DOWN,0
2022-02-10,114.4,113.82,114.68,123.3432,143.9229,DOWN,0
2022-02-11,112.76,114.23,114.036,123.0488,143.704,UP,1
2022-02-14,113.78,112.35,114.11,122.7588,143.4947,UP,1
2022-02-15,118.44,116.29,115.314,122.6038,143.3447,DOWN,0
2022-02-16,117.33,116.055,115.342,122.3616,143.2367,DOWN,0
