ticker,LW US Equity,LW US Equity,LW US Equity,LW US Equity,LW US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2018-01-16,58.52,58.4,58.142,54.9744,47.6535,UP,1
2018-01-17,59.34,58.74,58.402,55.1252,47.7399,DOWN,0
2018-01-18,59.03,59.37,58.634,55.2634,47.8251,UP,1
2018-01-19,60.04,59.18,59.042,55.423,47.9143,UP,1
2018-01-22,60.3,60.27,59.446,55.5958,48.0071,UP,1
2018-01-23,60.32,60.16,59.806,55.7544,48.093,DOWN,0
2018-01-24,59.87,60.4,59.912,55.9194,48.1774,DOWN,0
2018-01-25,59.24,60.07,59.954,56.065,48.2598,UP,1
2018-01-26,59.8,59.23,59.906,56.2054,48.3444,DOWN,0
2018-01-29,59.09,59.49,59.664,56.3194,48.4291,DOWN,0
2018-01-30,58.25,58.67,59.25,56.4296,48.511,UP,1
2018-01-31,58.6,58.46,58.996,56.5326,48.5928,DOWN,0
2018-02-01,57.4,58.4,58.628,56.6164,48.6679,DOWN,0
2018-02-02,56.79,57.15,58.026,56.6784,48.7409,DOWN,0
2018-02-05,56.34,56.74,57.476,56.7304,48.8096,DOWN,0
2018-02-06,55.8,55.22,56.986,56.7614,48.8773,UP,1
2018-02-07,56.93,55.67,56.652,56.8112,48.9486,DOWN,0
2018-02-08,54.73,57.13,56.118,56.8252,49.0099,DOWN,0
2018-02-09,54.46,55.08,55.652,56.8338,49.071,UP,1
2018-02-12,55.08,54.78,55.4,56.8564,49.1332,DOWN,0
2018-02-13,54.54,54.96,55.148,56.8598,49.1972,DOWN,0
2018-02-14,54.24,54.33,54.61,56.8474,49.2594,UP,1
2018-02-15,55.4,54.46,54.744,56.8564,49.3294,UP,1
2018-02-16,55.58,55.07,54.968,56.879,49.4028,DOWN,0
2018-02-20,54.29,55.28,54.81,56.8758,49.468,DOWN,0
2018-02-21,53.51,54.42,54.604,56.8464,49.5277,UP,1
2018-02-22,53.75,53.52,54.506,56.7974,49.5885,UP,1
2018-02-23,54.71,53.98,54.368,56.754,49.6533,DOWN,0
2018-02-26,54.62,54.94,54.176,56.7314,49.7141,DOWN,0
2018-02-27,54.39,54.62,54.196,56.7032,49.775,DOWN,0
