ticker,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,LVS US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2006-02-14,50.41,49.92,48.528,44.1596,38.5907,UP,1
2006-02-15,52.02,48.3,49.554,44.3832,38.6593,UP,1
2006-02-16,53.71,51.82,50.82,44.656,38.7474,DOWN,0
2006-02-17,53.09,53.85,51.896,44.9088,38.8322,UP,1
2006-02-21,53.4,53.2,52.526,45.1586,38.9215,UP,1
2006-02-22,54.87,53.4,53.418,45.432,39.0158,UP,1
2006-02-23,55.67,54.84,54.148,45.7412,39.1124,DOWN,0
2006-02-24,55.42,55.43,54.49,46.0338,39.2107,DOWN,0
2006-02-27,54.37,55.42,54.746,46.3284,39.303,DOWN,0
2006-02-28,53.35,54.27,54.736,46.6042,39.3942,UP,1
2006-03-01,54.09,53.34,54.58,46.9088,39.4962,DOWN,0
2006-03-02,53.23,54.1,54.092,47.1988,39.5926,UP,1
2006-03-03,53.45,53.23,53.698,47.4984,39.6847,UP,1
2006-03-06,56.63,54.5,54.15,47.8486,39.7854,DOWN,0
2006-03-07,55.73,56.22,54.626,48.1574,39.878,DOWN,0
2006-03-08,54.52,55.5,54.712,48.431,39.965,DOWN,0
2006-03-09,53.4,53.8,54.746,48.6872,40.046,DOWN,0
2006-03-10,52.57,53.4,54.57,48.9342,40.1251,DOWN,0
2006-03-13,51.25,52.5,53.494,49.1658,40.2032,DOWN,0
2006-03-14,49.97,49.85,52.342,49.37,40.2695,UP,1
2006-03-15,51.3,50.3,51.698,49.6066,40.34,DOWN,0
2006-03-16,50.87,51.322,51.192,49.8504,40.4131,DOWN,0
2006-03-17,50.5,50.92,50.778,50.0586,40.4786,DOWN,0
2006-03-20,50.0,50.35,50.528,50.248,40.5346,DOWN,0
2006-03-21,50.0,50.25,50.534,50.4158,40.5896,UP,1
2006-03-22,51.23,50.25,50.52,50.5844,40.6548,UP,1
2006-03-23,52.3,52.2,50.806,50.7708,40.7288,UP,1
2006-03-24,52.43,52.3,51.192,50.873,40.8065,UP,1
2006-03-27,53.95,52.5,51.982,51.017,40.8915,UP,1
2006-03-28,54.48,54.1,52.878,51.1396,40.978,UP,1
2006-03-29,55.33,55.03,53.698,51.2952,41.0672,UP,1
2006-03-30,56.72,55.9,54.582,51.4732,41.1552,DOWN,0
2006-03-31,56.66,56.65,55.428,51.6508,41.246,DOWN,0
2006-04-03,55.0,56.66,55.638,51.7576,41.327,UP,1
2006-04-04,58.8,55.83,56.502,52.003,41.4213,UP,1
2006-04-05,60.71,58.8,57.578,52.2626,41.5273,UP,1
2006-04-06,61.33,60.95,58.5,52.5442,41.64,UP,1
2006-04-07,61.41,61.5,59.45,52.8174,41.7511,DOWN,0
2006-04-10,60.1,61.61,60.47,53.0486,41.8641,DOWN,0
2006-04-11,59.88,60.85,60.686,53.248,41.975,UP,1
2006-04-12,62.76,60.88,61.096,53.4762,42.1041,UP,1
2006-04-13,64.1,62.76,61.65,53.7534,42.2376,UP,1
2006-04-17,65.94,64.8,62.556,54.0694,42.3845,DOWN,0
2006-04-18,63.96,65.94,63.328,54.3654,42.5255,UP,1
2006-04-19,64.14,64.0,64.18,54.6796,42.665,DOWN,0
2006-04-20,63.92,64.13,64.412,55.024,42.8013,UP,1
2006-04-21,63.97,63.92,64.386,55.3656,42.9385,UP,1
2006-04-24,64.31,64.07,64.06,55.7042,43.0769,DOWN,0
2006-04-25,63.77,64.32,64.022,56.0254,43.2072,DOWN,0
2006-04-26,61.85,63.58,63.564,56.2574,43.3272,UP,1
2006-04-27,64.64,62.45,63.708,56.542,43.4601,UP,1
2006-04-28,64.81,64.64,63.876,56.7978,43.5946,DOWN,0
2006-05-01,64.27,64.85,63.868,57.009,43.7289,UP,1
2006-05-02,64.52,64.52,64.018,57.2376,43.8619,UP,1
2006-05-03,65.6,64.77,64.768,57.4816,44.0004,UP,1
2006-05-04,66.32,65.4,65.104,57.7106,44.1376,UP,1
2006-05-05,71.32,69.3,66.406,58.0236,44.2992,DOWN,0
2006-05-08,70.92,71.75,67.736,58.3336,44.4523,DOWN,0
2006-05-09,70.52,71.5,68.936,58.6566,44.6034,UP,1
2006-05-10,71.25,70.95,70.066,59.0146,44.7646,DOWN,0
2006-05-11,71.1,71.85,71.022,59.3548,44.9302,DOWN,0
2006-05-12,68.12,70.5,70.382,59.6526,45.0785,UP,1
2006-05-15,69.02,68.3,70.002,59.964,45.2256,UP,1
2006-05-16,69.65,69.5,69.828,60.2244,45.3727,DOWN,0
2006-05-17,68.18,69.46,69.214,60.4734,45.5123,DOWN,0
2006-05-18,66.71,68.73,68.336,60.7172,45.6437,UP,1
2006-05-19,69.4,66.71,68.592,61.0372,45.8001,DOWN,0
2006-05-22,64.78,68.75,67.744,61.2814,45.936,UP,1
2006-05-23,65.07,65.37,66.828,61.5578,46.0717,DOWN,0
2006-05-24,60.1,64.9,65.212,61.7604,46.1857,UP,1
2006-05-25,63.67,61.35,64.604,62.0078,46.3148,UP,1
2006-05-26,69.63,72.0,64.65,62.383,46.4738,DOWN,0
2006-05-30,67.41,69.93,65.176,62.7212,46.6214,UP,1
2006-05-31,70.61,67.62,66.284,63.1334,46.7854,UP,1
2006-06-01,70.95,70.62,68.454,63.5524,46.9506,DOWN,0
2006-06-02,70.6,71.75,69.84,63.9398,47.1175,DOWN,0
2006-06-05,69.25,70.6,69.764,64.2788,47.2748,DOWN,0
2006-06-06,66.63,69.5,69.608,64.5628,47.4193,UP,1
2006-06-07,68.0,66.64,69.086,64.8438,47.5742,DOWN,0
2006-06-08,65.88,67.5,68.072,65.0718,47.7224,DOWN,0
2006-06-09,65.5,68.88,67.052,65.2752,47.8717,DOWN,0
2006-06-12,63.1,65.56,65.822,65.4028,48.0111,DOWN,0
2006-06-13,62.05,62.35,64.906,65.5106,48.1417,UP,1
2006-06-14,63.27,62.5,63.96,65.676,48.2787,UP,1
2006-06-15,68.05,64.17,64.394,65.861,48.4377,DOWN,0
2006-06-16,67.55,68.65,64.804,65.9978,48.5969,DOWN,0
2006-06-19,66.53,68.0,65.49,66.1018,48.7531,UP,1
2006-06-20,67.19,66.28,66.518,66.2174,48.9106,UP,1
2006-06-21,68.14,67.1,67.492,66.3782,49.0726,DOWN,0
2006-06-22,67.0,68.39,67.282,66.5206,49.2272,DOWN,0
2006-06-23,66.87,67.0,67.146,66.6028,49.3691,DOWN,0
2006-06-26,65.92,66.9,67.024,66.6392,49.5065,UP,1
2006-06-27,66.24,66.07,66.834,66.6452,49.6481,UP,1
2006-06-28,69.1,67.2,67.026,66.748,49.8086,UP,1
2006-06-29,74.04,69.8,68.434,66.946,49.9987,UP,1
2006-06-30,77.86,75.0,70.632,67.2248,50.2115,DOWN,0
2006-07-03,77.15,77.85,72.878,67.4884,50.4228,DOWN,0
2006-07-05,75.07,76.2,74.644,67.7036,50.6233,UP,1
2006-07-06,76.48,74.82,76.12,67.9578,50.8373,DOWN,0
2006-07-07,73.81,76.8,76.074,68.197,51.0372,UP,1
2006-07-10,74.0,74.2,75.302,68.3842,51.2474,UP,1
2006-07-11,74.71,73.8,74.814,68.5822,51.4594,DOWN,0
2006-07-12,73.31,74.09,74.462,68.763,51.664,DOWN,0
2006-07-13,70.07,72.31,73.18,68.874,51.856,DOWN,0
2006-07-14,67.58,70.0,71.934,68.9136,52.0356,UP,1
2006-07-17,69.13,67.58,70.96,68.9698,52.2182,DOWN,0
2006-07-18,67.11,69.7,69.44,68.8856,52.3882,UP,1
2006-07-19,69.6,67.36,68.698,68.8592,52.5716,DOWN,0
2006-07-20,68.98,70.3,68.48,68.8284,52.7511,DOWN,0
2006-07-21,64.92,68.75,67.948,68.7018,52.9081,UP,1
2006-07-24,68.19,65.12,67.76,68.6436,53.0842,UP,1
2006-07-25,69.35,67.0,68.208,68.6682,53.2718,DOWN,0
2006-07-26,63.03,68.4,66.894,68.5484,53.4243,DOWN,0
2006-07-27,59.41,63.03,64.98,68.3436,53.5647,UP,1
2006-07-28,62.77,59.15,64.55,68.2354,53.7237,DOWN,0
2006-07-31,62.03,62.27,63.318,68.1418,53.8834,DOWN,0
2006-08-01,61.42,61.78,61.732,67.9822,54.0411,UP,1
2006-08-02,65.28,63.0,62.182,67.9922,54.2107,DOWN,0
2006-08-03,60.81,62.6,62.462,67.907,54.3598,UP,1
2006-08-04,62.0,61.58,62.308,67.945,54.5214,DOWN,0
