ticker,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,MTD US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2000-11-30,46.938,48.313,42.1088,48.8375,46.36,DOWN,0
2000-12-01,46.125,46.563,42.1498,48.0625,46.36,UP,1
2000-12-04,47.313,46.375,42.2038,47.5125,46.3838,UP,1
2000-12-05,50.313,47.5,42.2741,47.85,46.4788,DOWN,0
2000-12-06,49.0,50.0,42.3345,47.9375,46.5662,DOWN,0
2000-12-07,48.188,48.75,42.3913,48.1875,46.6563,UP,1
2000-12-08,49.125,48.188,42.452,48.7875,46.745,DOWN,0
2000-12-11,47.313,49.125,42.4951,48.7875,46.8113,DOWN,0
2000-12-12,46.625,47.375,42.5351,48.05,46.8763,DOWN,0
2000-12-13,46.25,46.625,42.5741,47.5,46.9463,DOWN,0
2000-12-14,45.688,46.125,42.616,47.0,46.9975,UP,1
2000-12-15,47.313,45.938,42.666,46.6375,47.095,UP,1
2000-12-18,48.188,46.813,42.7226,46.8125,47.1888,DOWN,0
2000-12-19,48.188,48.313,42.771,47.125,47.2663,UP,1
2000-12-20,48.25,48.375,42.8248,47.525,47.3188,UP,1
2000-12-21,48.5,48.313,42.8823,48.0875,47.3375,UP,1
2000-12-22,49.375,48.625,42.9416,48.5,47.4412,UP,1
2000-12-26,51.0,49.625,43.0057,49.0625,47.635,UP,1
2000-12-27,54.0,51.0,43.0835,50.225,47.855,UP,1
2000-12-28,55.625,53.875,43.1654,51.7,48.0963,DOWN,0
2000-12-29,54.375,55.5,43.2241,52.875,48.2575,DOWN,0
2001-01-02,52.0,53.625,43.272,53.4,48.36,UP,1
2001-01-03,52.938,52.188,43.3223,53.7875,48.5263,DOWN,0
2001-01-04,52.0,52.938,43.3676,53.3875,48.6575,UP,1
2001-01-05,52.313,52.188,43.4066,52.725,48.8088,DOWN,0
2001-01-08,50.75,52.063,43.4401,52.0,48.9487,DOWN,0
2001-01-09,50.625,50.938,43.4848,51.725,49.0563,DOWN,0
2001-01-10,50.5,50.688,43.5345,51.2375,49.1838,UP,1
2001-01-11,53.063,50.688,43.6023,51.45,49.3038,DOWN,0
2001-01-12,51.563,53.063,43.6576,51.3,49.4013,DOWN,0
2001-01-16,49.75,51.313,43.7038,51.1,49.4688,DOWN,0
2001-01-17,47.0,49.75,43.7341,50.375,49.46,UP,1
2001-01-18,48.813,47.125,43.7773,50.0375,49.435,DOWN,0
2001-01-19,48.688,48.5,43.8207,49.1625,49.4113,UP,1
2001-01-22,49.0,48.5,43.8651,48.65,49.4,UP,1
2001-01-23,50.25,49.0,43.916,48.75,49.4275,UP,1
2001-01-24,51.688,50.25,43.9716,49.6875,49.4825,DOWN,0
2001-01-25,51.313,51.5,44.0273,50.1875,49.5613,DOWN,0
2001-01-26,51.313,51.563,44.0838,50.7125,49.6425,UP,1
2001-01-29,51.6,51.06,44.1403,51.2325,49.6983,UP,1
2001-01-30,52.74,51.7,44.1993,51.7305,49.7468,DOWN,0
2001-01-31,51.8,52.85,44.2645,51.753,49.7815,UP,1
2001-02-01,53.05,52.0,44.3279,52.1005,49.8251,DOWN,0
2001-02-02,52.15,53.0,44.3752,52.268,49.9106,DOWN,0
2001-02-05,51.42,52.4,44.4104,52.232,49.9777,DOWN,0
2001-02-06,50.66,51.5,44.4437,51.816,50.0384,DOWN,0
2001-02-07,50.14,50.66,44.5032,51.484,50.0412,UP,1
2001-02-08,50.7,50.12,44.5376,51.014,50.0539,DOWN,0
2001-02-09,49.39,50.9,44.5758,50.462,50.0692,DOWN,0
2001-02-12,48.2,49.5,44.6118,49.818,50.062,UP,1
2001-02-13,49.5,48.45,44.6868,49.586,50.1132,UP,1
2001-02-14,50.05,49.5,44.763,49.568,50.1917,DOWN,0
2001-02-15,49.97,50.15,44.8429,49.422,50.2449,DOWN,0
2001-02-16,49.95,49.77,44.9148,49.534,50.2376,DOWN,0
2001-02-20,49.9,50.05,44.9877,49.874,50.2556,DOWN,0
2001-02-21,49.0,49.75,45.0531,49.774,50.2719,DOWN,0
2001-02-22,47.16,49.0,45.1179,49.196,50.2326,UP,1
2001-02-23,47.72,47.35,45.1896,48.746,50.2407,DOWN,0
2001-02-26,45.32,47.8,45.2397,47.82,50.2146,DOWN,0
2001-02-27,44.5,45.35,45.2625,46.74,50.1796,UP,1
2001-02-28,45.38,44.35,45.2997,46.016,50.1735,DOWN,0
2001-03-01,45.25,45.3,45.3413,45.634,50.1322,UP,1
2001-03-02,46.2,45.35,45.3791,45.33,50.0925,UP,1
2001-03-05,47.69,46.21,45.4345,45.804,50.0825,UP,1
