ticker,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,FRC US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,,
date,,,,,,,
2011-11-01,26.87,26.52,28.094,25.1078,28.8574,UP,1
2011-11-02,27.87,27.35,28.012,25.1736,28.8442,UP,1
2011-11-03,28.14,28.23,27.838,25.2356,28.8319,UP,1
2011-11-04,28.26,27.86,27.768,25.3162,28.8221,UP,1
2011-11-07,28.75,28.12,27.978,25.3974,28.8143,UP,1
2011-11-08,28.94,28.97,28.392,25.4714,28.8074,DOWN,0
2011-11-09,27.81,28.23,28.38,25.5226,28.7947,UP,1
2011-11-10,28.0,28.24,28.352,25.5726,28.7832,UP,1
2011-11-11,28.39,28.25,28.378,25.6462,28.7765,DOWN,0
2011-11-14,27.81,28.2,28.19,25.7194,28.7669,UP,1
2011-11-15,27.98,27.81,27.998,25.799,28.7604,DOWN,0
2011-11-16,27.95,27.75,28.026,25.8572,28.7546,UP,1
2011-11-17,28.63,27.95,28.152,25.9498,28.7532,UP,1
2011-11-18,28.94,28.62,28.262,26.0476,28.7519,DOWN,0
2011-11-21,28.3,28.44,28.36,26.1172,28.7459,UP,1
2011-11-22,28.71,28.24,28.506,26.1856,28.7403,DOWN,0
2011-11-23,27.56,28.42,28.428,26.2326,28.7308,UP,1
2011-11-25,27.81,27.57,28.264,26.2864,28.7236,UP,1
2011-11-28,28.09,28.73,28.094,26.342,28.7184,UP,1
2011-11-29,28.36,28.06,28.106,26.4108,28.716,UP,1
2011-11-30,28.38,29.05,28.04,26.4796,28.7127,UP,1
2011-12-01,28.41,28.19,28.21,26.5642,28.7091,UP,1
2011-12-02,28.96,28.73,28.44,26.6694,28.7088,UP,1
2011-12-05,29.75,29.3,28.772,26.7918,28.7087,DOWN,0
2011-12-06,29.15,29.54,28.93,26.8948,28.7084,UP,1
2011-12-07,29.39,29.05,29.132,26.994,28.7101,DOWN,0
2011-12-08,28.83,29.07,29.216,27.109,28.7087,UP,1
2011-12-09,29.26,28.9,29.276,27.2226,28.7085,DOWN,0
2011-12-12,28.98,28.84,29.122,27.339,28.7072,UP,1
2011-12-13,29.25,29.19,29.142,27.4744,28.7081,UP,1
2011-12-14,29.39,28.99,29.142,27.5788,28.7114,UP,1
2011-12-15,29.74,29.65,29.324,27.6892,28.7147,UP,1
2011-12-16,29.82,29.75,29.436,27.7922,28.7198,DOWN,0
2011-12-19,29.68,29.8,29.576,27.9184,28.7282,UP,1
2011-12-20,30.05,29.99,29.736,28.0188,28.7347,DOWN,0
2011-12-21,29.88,30.0,29.834,28.1136,28.7396,UP,1
2011-12-22,30.85,30.0,30.056,28.2132,28.7514,DOWN,0
2011-12-23,30.85,31.0,30.262,28.3284,28.7642,UP,1
2011-12-27,31.38,30.8,30.602,28.444,28.7802,DOWN,0
2011-12-28,30.81,31.4,30.754,28.5588,28.7889,DOWN,0
2011-12-29,30.74,30.82,30.926,28.646,28.7958,DOWN,0
2011-12-30,30.61,30.75,30.878,28.7414,28.799,UP,1
2012-01-03,30.86,31.06,30.88,28.8532,28.8016,UP,1
2012-01-04,31.26,30.72,30.856,28.9484,28.805,DOWN,0
2012-01-05,31.2,31.07,30.934,29.0256,28.8121,DOWN,0
2012-01-06,31.01,31.19,30.988,29.1052,28.8177,UP,1
2012-01-09,31.3,31.02,31.126,29.1656,28.8256,UP,1
2012-01-10,31.42,31.55,31.238,29.2138,28.8323,UP,1
2012-01-11,31.68,31.36,31.322,29.2752,28.8388,DOWN,0
2012-01-12,31.46,31.66,31.374,29.3504,28.8456,UP,1
2012-01-13,31.75,31.05,31.522,29.448,28.8517,DOWN,0
2012-01-17,31.27,31.84,31.516,29.516,28.8535,DOWN,0
2012-01-18,31.25,31.29,31.482,29.5782,28.8562,DOWN,0
2012-01-19,31.11,31.32,31.368,29.6352,28.8609,DOWN,0
2012-01-20,30.79,31.03,31.234,29.676,28.8657,DOWN,0
2012-01-23,30.54,30.9,30.992,29.708,28.869,DOWN,0
2012-01-24,30.15,30.37,30.768,29.7548,28.8703,UP,1
