ticker,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,DLTR US Equity,Predictions,OneHotPred
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,,
date,,,,,,,
2013-01-09,38.18,38.95,47.0524,39.2498,39.8145,DOWN,0
2013-01-10,38.14,38.42,47.0062,38.9818,39.7763,DOWN,0
2013-01-11,38.12,38.23,46.9573,38.6818,39.7417,DOWN,0
2013-01-14,38.04,38.07,46.9084,38.298,39.7051,UP,1
2013-01-15,38.6,37.72,46.8649,38.216,39.6695,UP,1
2013-01-16,38.82,38.81,46.8228,38.344,39.6541,UP,1
2013-01-17,38.98,38.95,46.7815,38.512,39.6431,DOWN,0
2013-01-18,38.52,38.88,46.7367,38.592,39.6329,UP,1
2013-01-22,39.53,38.5,46.695,38.89,39.6469,UP,1
2013-01-23,39.96,39.62,46.6584,39.162,39.6835,UP,1
2013-01-24,41.06,40.06,46.6233,39.61,39.7499,DOWN,0
2013-01-25,41.05,41.1,46.5903,40.024,39.8135,DOWN,0
2013-01-28,40.98,41.24,46.5617,40.516,39.8789,DOWN,0
2013-01-29,40.62,40.77,46.5279,40.734,39.9361,DOWN,0
2013-01-30,39.81,40.57,46.4872,40.704,39.9383,UP,1
2013-01-31,39.99,39.93,46.4471,40.49,39.9617,UP,1
2013-02-01,40.12,40.25,46.4063,40.304,39.9551,DOWN,0
2013-02-04,39.58,39.91,46.3587,40.024,39.9145,UP,1
2013-02-05,39.59,39.85,46.3103,39.818,39.8769,DOWN,0
2013-02-06,39.56,39.64,46.262,39.768,39.8275,DOWN,0
2013-02-07,39.4,39.65,46.2101,39.65,39.772,UP,1
2013-02-08,41.06,39.41,46.1682,39.838,39.7706,DOWN,0
2013-02-11,40.96,41.26,46.1311,40.114,39.7614,DOWN,0
2013-02-12,40.23,40.83,46.0852,40.242,39.7314,DOWN,0
2013-02-13,39.72,40.23,46.034,40.274,39.691,UP,1
2013-02-14,39.93,39.47,45.9787,40.38,39.6628,UP,1
2013-02-15,41.12,39.9,45.9302,40.392,39.658,DOWN,0
2013-02-19,40.4,41.12,45.8771,40.28,39.655,DOWN,0
2013-02-20,40.29,40.35,45.8188,40.292,39.653,UP,1
2013-02-21,41.46,40.25,45.7677,40.64,39.6858,UP,1
2013-02-22,41.89,41.69,45.7224,41.032,39.7348,DOWN,0
2013-02-25,40.82,41.91,45.6694,40.972,39.7916,UP,1
2013-02-26,41.08,40.76,45.6208,41.108,39.8402,UP,1
2013-02-27,45.39,43.5,45.5931,42.128,39.9712,DOWN,0
2013-02-28,45.185,45.25,45.5634,42.873,40.1023,UP,1
2013-03-01,46.11,45.02,45.5372,43.717,40.2351,UP,1
2013-03-04,46.48,45.85,45.5203,44.849,40.3595,DOWN,0
2013-03-05,46.0,46.75,45.4975,45.833,40.4885,DOWN,0
2013-03-06,45.47,46.31,45.4716,45.849,40.5981,DOWN,0
2013-03-07,45.1,45.46,45.4592,45.832,40.6995,DOWN,0
2013-03-08,45.03,45.47,45.4464,45.616,40.7991,DOWN,0
2013-03-11,45.01,44.89,45.4292,45.322,40.9049,DOWN,0
2013-03-12,44.64,44.88,45.4072,45.05,41.0031,UP,1
2013-03-13,45.05,45.44,45.3841,44.966,41.1121,DOWN,0
2013-03-14,44.96,45.01,45.3546,44.938,41.2001,DOWN,0
2013-03-15,44.24,44.8,45.3203,44.78,41.2869,UP,1
2013-03-18,44.91,44.73,45.2894,44.76,41.3955,DOWN,0
2013-03-19,44.37,44.64,45.2545,44.706,41.4905,UP,1
2013-03-20,46.16,44.81,45.2274,44.928,41.6145,UP,1
2013-03-21,46.34,45.68,45.2092,45.204,41.7611,UP,1
2013-03-22,46.84,46.32,45.1884,45.724,41.9343,UP,1
2013-03-25,47.02,47.48,45.1707,46.146,42.1119,UP,1
2013-03-26,48.35,47.19,45.1504,46.942,42.3165,DOWN,0
2013-03-27,47.86,47.77,45.1277,47.282,42.5129,UP,1
2013-03-28,48.43,47.77,45.103,47.7,42.7095,DOWN,0
2013-04-01,47.6,48.56,45.0767,47.852,42.8851,DOWN,0
2013-04-02,47.32,47.93,45.0454,47.912,43.0519,DOWN,0
2013-04-03,47.26,48.35,45.0154,47.694,43.2267,UP,1
2013-04-04,47.67,47.25,44.984,47.656,43.3895,DOWN,0
2013-04-05,46.97,46.85,44.943,47.364,43.5297,UP,1
2013-04-08,47.03,47.06,44.8964,47.25,43.6491,DOWN,0
2013-04-09,45.99,46.92,44.8426,46.984,43.7479,UP,1
2013-04-10,46.12,45.69,44.7954,46.756,43.8507,UP,1
2013-04-11,47.28,46.35,44.7611,46.678,43.9839,UP,1
2013-04-12,47.82,47.33,44.7264,46.848,44.1441,DOWN,0
2013-04-15,46.88,47.48,44.6869,46.818,44.2819,UP,1
2013-04-16,47.73,47.06,44.6481,47.166,44.4341,DOWN,0
2013-04-17,47.37,47.28,44.6176,47.416,44.5899,DOWN,0
2013-04-18,47.01,47.67,44.5917,47.362,44.7383,UP,1
2013-04-19,47.47,46.86,44.5601,47.292,44.8965,UP,1
2013-04-22,47.71,47.45,44.538,47.458,45.0627,UP,1
2013-04-23,48.2,47.82,44.5189,47.552,45.2055,DOWN,0
2013-04-24,48.175,48.38,44.4897,47.713,45.3498,UP,1
2013-04-25,48.6,48.48,44.4612,48.031,45.5172,DOWN,0
2013-04-26,47.95,48.44,44.436,48.127,45.6818,DOWN,0
2013-04-29,47.79,48.09,44.4108,48.143,45.839,DOWN,0
2013-04-30,47.56,47.65,44.3896,48.015,45.9678,UP,1
2013-05-01,47.81,47.64,44.3685,47.942,46.116,UP,1
2013-05-02,48.42,47.85,44.3467,47.906,46.2786,UP,1
2013-05-03,48.66,48.84,44.3275,48.048,46.4226,UP,1
2013-05-06,48.7,48.52,44.3045,48.23,46.5588,UP,1
2013-05-07,49.5,48.64,44.2875,48.618,46.7324,DOWN,0
2013-05-08,49.39,49.49,44.2711,48.934,46.8986,DOWN,0
2013-05-09,49.06,49.4,44.2595,49.062,46.972,UP,1
2013-05-10,49.28,49.17,44.2527,49.186,47.0539,DOWN,0
2013-05-13,49.07,49.08,44.2449,49.26,47.1131,UP,1
2013-05-14,49.16,49.1,44.24,49.192,47.1667,UP,1
2013-05-15,50.28,49.25,44.2363,49.37,47.2523,DOWN,0
2013-05-16,49.75,49.99,44.2252,49.508,47.3379,UP,1
2013-05-17,49.76,50.24,44.2168,49.604,47.4311,DOWN,0
2013-05-20,49.47,49.68,44.2125,49.684,47.5199,DOWN,0
2013-05-21,49.38,49.6,44.2093,49.728,47.6073,DOWN,0
2013-05-22,48.37,49.54,44.1979,49.346,47.6819,UP,1
2013-05-23,50.19,49.9,44.1933,49.434,47.7847,UP,1
2013-05-24,50.24,50.01,44.1895,49.53,47.8903,UP,1
2013-05-28,50.56,50.68,44.1825,49.748,48.0167,DOWN,0
2013-05-29,49.77,50.23,44.1666,49.826,48.1139,DOWN,0
2013-05-30,49.0,49.7,44.1533,49.952,48.2065,DOWN,0
2013-05-31,48.04,48.94,44.1399,49.522,48.2441,UP,1
2013-06-03,49.17,48.5,44.135,49.308,48.3007,DOWN,0
2013-06-04,48.55,48.68,44.1246,48.906,48.3349,DOWN,0
2013-06-05,48.12,48.57,44.1152,48.576,48.3569,UP,1
2013-06-06,49.28,48.62,44.1161,48.632,48.3755,UP,1
2013-06-07,49.69,49.29,44.12,48.962,48.4121,UP,1
2013-06-10,49.8,49.74,44.1257,49.088,48.4395,UP,1
2013-06-11,49.83,49.44,44.1333,49.344,48.4841,DOWN,0
2013-06-12,48.56,50.1,44.1314,49.432,48.5089,UP,1
2013-06-13,49.32,48.61,44.1355,49.44,48.5501,DOWN,0
2013-06-14,49.12,49.27,44.1346,49.326,48.5791,UP,1
2013-06-17,50.14,49.7,44.1434,49.394,48.6425,UP,1
2013-06-18,50.6,50.04,44.1544,49.548,48.7139,DOWN,0
2013-06-19,50.16,50.54,44.1629,49.868,48.7973,DOWN,0
2013-06-20,49.35,49.84,44.1692,49.874,48.8619,UP,1
2013-06-21,49.41,49.64,44.1754,49.932,48.9045,UP,1
2013-06-24,49.62,49.24,44.1826,49.828,48.9405,UP,1
2013-06-25,49.78,49.83,44.1948,49.664,48.9985,UP,1
2013-06-26,49.95,50.22,44.2046,49.622,49.0429,UP,1
2013-06-27,50.33,50.22,44.2177,49.818,49.1021,UP,1
2013-06-28,50.84,50.06,44.2348,50.104,49.1787,UP,1
2013-07-01,51.635,50.66,44.2609,50.507,49.262,UP,1
2013-07-02,51.95,51.43,44.2903,50.941,49.3468,UP,1
2013-07-03,52.06,51.53,44.3163,51.363,49.424,UP,1
2013-07-05,53.0,52.5,44.3453,51.897,49.5205,UP,1
2013-07-08,53.26,53.25,44.377,52.381,49.6137,DOWN,0
2013-07-09,52.82,53.36,44.407,52.618,49.7111,UP,1
2013-07-10,54.29,53.15,44.4431,53.086,49.8411,DOWN,0
2013-07-11,54.17,54.97,44.4669,53.508,49.9733,DOWN,0
2013-07-12,53.96,54.05,44.494,53.7,50.0963,DOWN,0
2013-07-15,53.51,53.91,44.5164,53.75,50.1981,DOWN,0
2013-07-16,53.17,53.44,44.5386,53.82,50.2883,DOWN,0
2013-07-17,53.1,53.18,44.5622,53.582,50.3763,UP,1
2013-07-18,53.69,53.27,44.5878,53.486,50.4601,DOWN,0
2013-07-19,53.55,53.69,44.6141,53.404,50.5433,UP,1
2013-07-22,53.71,53.82,44.6412,53.444,50.6363,DOWN,0
2013-07-23,53.14,53.66,44.6687,53.438,50.7135,DOWN,0
2013-07-24,52.88,53.33,44.698,53.394,50.7897,DOWN,0
2013-07-25,52.75,52.9,44.7275,53.206,50.8615,UP,1
2013-07-26,53.13,52.44,44.7528,53.122,50.9185,DOWN,0
2013-07-29,52.94,52.83,44.7812,52.968,50.9823,UP,1
2013-07-30,53.39,53.2,44.8192,53.018,51.0549,UP,1
2013-07-31,53.65,53.71,44.8529,53.172,51.1385,UP,1
2013-08-01,54.43,53.81,44.9086,53.508,51.2395,DOWN,0
2013-08-02,54.38,54.5,44.975,53.758,51.3597,DOWN,0
2013-08-05,54.34,54.06,45.0441,54.038,51.4427,DOWN,0
2013-08-06,54.25,54.28,45.1127,54.21,51.5229,DOWN,0
2013-08-07,53.9,54.23,45.1804,54.26,51.5897,DOWN,0
2013-08-08,53.3,54.03,45.2501,54.034,51.6603,DOWN,0
2013-08-09,52.92,53.26,45.319,53.742,51.7387,UP,1
2013-08-12,52.97,52.52,45.3889,53.468,51.8373,UP,1
2013-08-13,53.73,52.94,45.4616,53.364,51.9285,DOWN,0
2013-08-14,53.02,53.44,45.5254,53.188,52.0179,DOWN,0
2013-08-15,51.28,52.68,45.5816,52.784,52.0811,DOWN,0
2013-08-16,50.45,51.05,45.6346,52.29,52.1045,UP,1
2013-08-19,50.91,50.52,45.6898,51.878,52.1289,UP,1
2013-08-20,52.0,51.25,45.7479,51.532,52.1729,DOWN,0
2013-08-21,51.84,51.97,45.8091,51.296,52.2131,UP,1
2013-08-22,53.13,52.2,45.8771,51.666,52.3045,UP,1
2013-08-23,53.29,53.34,45.9484,52.234,52.3839,UP,1
2013-08-26,54.12,54.0,46.0249,52.876,52.4839,DOWN,0
2013-08-27,53.51,53.62,46.1018,53.178,52.5513,DOWN,0
2013-08-28,53.31,53.6,46.1796,53.472,52.6055,DOWN,0
2013-08-29,53.02,52.98,46.2554,53.45,52.6627,DOWN,0
2013-08-30,52.7,53.18,46.3303,53.332,52.7297,DOWN,0
2013-09-03,52.53,53.14,46.4042,53.014,52.7921,UP,1
2013-09-04,54.17,52.96,46.4765,53.146,52.8831,DOWN,0
2013-09-05,53.97,54.03,46.5523,53.278,52.9669,DOWN,0
2013-09-06,53.45,53.94,46.6173,53.364,53.0369,UP,1
2013-09-09,53.69,53.45,46.6777,53.562,53.1041,UP,1
2013-09-10,54.37,53.91,46.7422,53.93,53.1747,UP,1
2013-09-11,54.99,54.49,46.807,54.094,53.2418,DOWN,0
2013-09-12,54.61,54.72,46.8691,54.222,53.295,UP,1
2013-09-13,54.87,54.8,46.9378,54.506,53.3512,UP,1
2013-09-16,55.86,55.35,47.01,54.94,53.4084,DOWN,0
2013-09-17,55.83,55.9,47.0805,55.232,53.4598,UP,1
2013-09-18,57.82,57.52,47.1609,55.798,53.5598,UP,1
2013-09-19,58.489,58.14,47.2467,56.5738,53.6438,DOWN,0
2013-09-20,58.0,58.48,47.3299,57.1998,53.7204,DOWN,0
