ticker,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,CSGP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2017-10-24,28.074,28.419,24.6106,28.2245,27.9852,27.841
2017-10-25,27.841,28.111,24.6527,28.1177,27.978,28.925
2017-10-26,28.925,28.147,24.6983,28.2932,27.9899,29.938
2017-10-27,29.938,29.169,24.7491,28.6296,28.0269,29.45
2017-10-30,29.45,29.981,24.7958,28.8456,28.058,29.575
2017-10-31,29.575,29.585,24.8441,29.1458,28.0929,29.513
2017-11-01,29.513,29.802,24.892,29.4802,28.117,29.362
2017-11-02,29.362,29.432,24.9393,29.5676,28.1363,29.578
2017-11-03,29.578,29.393,24.987,29.4956,28.1595,29.988
2017-11-06,29.988,29.6,25.0368,29.6032,28.1922,29.936
2017-11-07,29.936,30.0,25.085,29.6754,28.2282,30.07
2017-11-08,30.07,30.212,25.1331,29.7868,28.2647,29.929
2017-11-09,29.929,29.909,25.1811,29.9002,28.2945,29.668
2017-11-10,29.668,29.936,25.2281,29.9182,28.3146,29.643
2017-11-13,29.643,29.587,25.2753,29.8492,28.3334,29.905
2017-11-14,29.905,29.541,25.3238,29.843,28.3672,29.731
2017-11-15,29.731,29.72,25.3708,29.7752,28.3988,30.353
2017-11-16,30.353,29.867,25.4218,29.86,28.4413,30.474
2017-11-17,30.474,30.453,25.4724,30.0212,28.49,30.663
2017-11-20,30.663,30.569,25.5239,30.2252,28.5401,30.797
2017-11-21,30.797,30.777,25.5757,30.4036,28.5918,30.88
2017-11-22,30.88,30.852,25.6283,30.6334,28.6589,31.019
2017-11-24,31.019,30.944,25.6815,30.7666,28.73,30.949
2017-11-27,30.949,31.018,25.7342,30.8616,28.7934,30.742
2017-11-28,30.742,30.923,25.7851,30.8774,28.855,30.186
2017-11-29,30.186,30.818,25.8333,30.7552,28.8975,30.497
2017-11-30,30.497,30.418,25.8822,30.6786,28.9433,30.201
2017-12-01,30.201,30.557,25.929,30.515,28.9868,29.577
2017-12-04,29.577,30.486,25.972,30.2406,29.0167,29.259
2017-12-05,29.259,29.598,26.0126,29.944,29.0435,29.321
2017-12-06,29.321,29.188,26.0542,29.771,29.0964,29.182
2017-12-07,29.182,29.409,26.0993,29.508,29.146,29.234
2017-12-08,29.234,29.34,26.1448,29.3146,29.1984,29.05
2017-12-11,29.05,29.235,26.188,29.2092,29.2429,28.783
2017-12-12,28.783,28.594,26.2304,29.114,29.2752,29.116
2017-12-13,29.116,28.848,26.2725,29.073,29.3143,28.78
2017-12-14,28.78,29.089,26.314,28.9926,29.3463,29.486
2017-12-15,29.486,28.913,26.3583,29.043,29.3872,29.725
2017-12-18,29.725,29.755,26.4041,29.178,29.4279,29.886
2017-12-19,29.886,29.7,26.451,29.3986,29.4721,29.692
2017-12-20,29.692,29.973,26.4965,29.5138,29.5073,29.858
2017-12-21,29.858,29.701,26.5422,29.7294,29.5261,29.979
2017-12-22,29.979,29.803,26.5895,29.828,29.5512,29.486
2017-12-26,29.486,29.853,26.6341,29.7802,29.5669,29.407
2017-12-27,29.407,29.475,26.6786,29.6844,29.5826,29.56
2017-12-28,29.56,29.442,26.7239,29.658,29.6063,29.695
2017-12-29,29.695,29.538,26.769,29.6254,29.6327,29.679
2018-01-02,29.679,29.829,26.8149,29.5654,29.6654,30.75
2018-01-03,30.75,29.708,26.8651,29.8182,29.7152,30.911
2018-01-04,30.911,30.845,26.917,30.119,29.7661,31.139
2018-01-05,31.139,30.993,26.9705,30.4348,29.8274,31.397
2018-01-08,31.397,31.131,27.0243,30.7752,29.8985,31.466
2018-01-09,31.466,31.476,27.0778,31.1326,29.9493,31.444
2018-01-10,31.444,31.379,27.1307,31.2714,29.9794,31.731
2018-01-11,31.731,31.554,27.1859,31.4354,30.025,32.202
2018-01-12,32.202,31.816,27.2423,31.648,30.0776,31.906
2018-01-16,31.906,32.5,27.2985,31.7498,30.1254,32.196
2018-01-17,32.196,31.984,27.3559,31.8958,30.1821,33.64
2018-01-18,33.64,32.426,27.4203,32.335,30.2634,34.12
2018-01-19,34.12,33.64,27.488,32.8128,30.346,34.195
2018-01-22,34.195,34.111,27.556,33.2114,30.4312,35.022
2018-01-23,35.022,34.251,27.6279,33.8346,30.5302,35.28
2018-01-24,35.28,35.178,27.701,34.4514,30.6372,34.954
2018-01-25,34.954,35.417,27.7723,34.7142,30.743,35.176
2018-01-26,35.176,35.091,27.8455,34.9254,30.8536,35.071
2018-01-29,35.071,35.141,27.9185,35.1006,30.9569,34.719
2018-01-30,34.719,34.822,27.9898,35.04,31.0567,34.611
2018-01-31,34.611,34.89,28.0593,34.9062,31.1419,35.002
2018-02-01,35.002,34.485,28.1296,34.9158,31.2324,34.34
2018-02-02,34.34,34.794,28.1952,34.7486,31.306,33.833
2018-02-05,33.833,34.0,28.2565,34.501,31.3667,33.519
2018-02-06,33.519,33.304,28.3165,34.261,31.4195,33.747
2018-02-07,33.747,33.529,28.3767,34.0882,31.474,32.906
2018-02-08,32.906,33.831,28.4331,33.669,31.5132,32.799
2018-02-09,32.799,33.118,28.4874,33.3608,31.5543,33.406
2018-02-12,33.406,33.025,28.5361,33.2754,31.6187,34.301
2018-02-13,34.301,33.323,28.5872,33.4318,31.6948,34.563
2018-02-14,34.563,34.189,28.6387,33.595,31.782,34.799
2018-02-15,34.799,34.769,28.6903,33.9736,31.8865,35.014
2018-02-16,35.014,34.78,28.7422,34.4166,32.0016,35.184
2018-02-20,35.184,34.953,28.7939,34.7722,32.1188,35.211
2018-02-21,35.211,35.185,28.8435,34.9542,32.2394,35.158
2018-02-22,35.158,35.301,28.8934,35.0732,32.3579,35.491
2018-02-23,35.491,35.293,28.9447,35.2116,32.4867,35.34
2018-02-26,35.34,35.853,28.9952,35.2768,32.6178,34.4
2018-02-27,34.4,35.2,29.0408,35.12,32.7235,34.213
2018-02-28,34.213,34.578,29.0858,34.9204,32.8322,34.45
2018-03-01,34.45,34.304,29.1302,34.7788,32.9315,34.828
2018-03-02,34.828,34.207,29.1765,34.6462,33.0335,35.708
