ticker,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,GOOGL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2010-07-13,12.242,12.068,11.7077,12.14,13.5366,12.295
2010-07-14,12.295,12.259,11.9136,12.1203,13.5365,12.362
2010-07-15,12.362,12.305,12.1011,12.1141,13.5359,11.501
2010-07-16,11.501,11.739,12.0616,12.089,13.531,11.666
2010-07-19,11.666,11.536,12.0133,12.0728,13.5273,12.051
2010-07-20,12.051,11.537,11.9753,12.067,13.5266,11.949
2010-07-21,11.949,12.112,11.906,12.0449,13.5257,12.132
2010-07-22,12.132,12.092,11.8599,12.0328,13.5253,12.263
2010-07-23,12.263,12.031,12.0123,12.0251,13.5242,12.236
2010-07-26,12.236,12.239,12.1264,12.0141,13.5206,12.328
2010-07-27,12.328,12.276,12.1817,12.0067,13.5179,12.12
2010-07-28,12.12,12.386,12.2159,11.9949,13.5139,12.137
2010-07-29,12.137,12.161,12.2168,11.9882,13.509,12.133
2010-07-30,12.133,12.003,12.1908,11.9834,13.5039,12.272
2010-08-02,12.272,12.237,12.198,11.9911,13.4982,12.258
2010-08-03,12.258,12.274,12.184,12.0,13.4932,12.67
2010-08-04,12.67,12.316,12.2939,12.0146,13.4878,12.715
2010-08-05,12.715,12.66,12.4096,12.0301,13.4823,12.518
2010-08-06,12.518,12.647,12.4865,12.0425,13.4758,12.646
2010-08-09,12.646,12.568,12.5613,12.0499,13.4701,12.605
2010-08-10,12.605,12.571,12.6307,12.059,13.4638,12.305
2010-08-11,12.305,12.455,12.5578,12.0637,13.4561,12.312
2010-08-12,12.312,12.11,12.4772,12.063,13.4483,12.171
2010-08-13,12.171,12.237,12.4078,12.0534,13.4405,12.152
2010-08-16,12.152,12.104,12.3089,12.0468,13.4337,12.275
2010-08-17,12.275,12.225,12.2429,12.0493,13.4261,12.065
2010-08-18,12.065,12.273,12.1949,12.048,13.4194,11.711
2010-08-19,11.711,12.037,12.0746,12.0449,13.4111,11.562
2010-08-20,11.562,11.711,11.9528,12.0324,13.4017,11.613
2010-08-23,11.613,11.549,11.8451,12.0202,13.3921,11.296
2010-08-24,11.296,11.454,11.6493,12.0043,13.38,11.377
2010-08-25,11.377,11.261,11.5115,11.9826,13.3679,11.285
2010-08-26,11.285,11.413,11.4265,11.9574,13.3539,11.482
2010-08-27,11.482,11.325,11.4105,11.9368,13.3404,11.328
2010-08-30,11.328,11.49,11.3536,11.9131,13.3257,11.261
2010-08-31,11.261,11.264,11.3467,11.8938,13.3109,11.52
2010-09-01,11.52,11.386,11.3753,11.8808,13.297,11.591
2010-09-02,11.591,11.582,11.4364,11.8714,13.2828,11.769
2010-09-03,11.769,11.774,11.4938,11.869,13.2694,11.621
2010-09-07,11.621,11.624,11.5524,11.8648,13.2554,11.776
2010-09-08,11.776,11.641,11.6553,11.8641,13.2425,11.916
2010-09-09,11.916,11.957,11.7346,11.8751,13.2308,11.915
2010-09-10,11.915,11.987,11.7994,11.8907,13.2175,12.068
2010-09-13,12.068,12.034,11.8593,11.9121,13.2049,12.022
2010-09-14,12.022,12.062,11.9396,11.934,13.1917,12.028
2010-09-15,12.028,12.01,11.9899,11.9563,13.1793,12.038
2010-09-16,12.038,12.01,12.0143,11.9718,13.1666,12.266
2010-09-17,12.266,12.105,12.0845,11.9886,13.1541,12.719
2010-09-20,12.719,12.324,12.2146,12.009,13.1442,12.849
2010-09-21,12.849,12.754,12.3799,12.0278,13.1351,12.913
2010-09-22,12.913,12.834,12.5569,12.0413,13.1265,12.849
2010-09-23,12.849,12.878,12.7192,12.0523,13.1174,13.195
2010-09-24,13.195,13.056,12.9051,12.069,13.1099,13.273
2010-09-27,13.273,13.234,13.0158,12.1044,13.1026,13.192
2010-09-28,13.192,13.35,13.0844,12.135,13.0945,13.205
2010-09-29,13.205,13.209,13.1429,12.158,13.0867,13.158
2010-09-30,13.158,13.242,13.2045,12.1822,13.0779,13.153
2010-10-01,13.153,13.263,13.1962,12.2026,13.0695,13.071
2010-10-04,13.071,13.136,13.1558,12.2188,13.06,13.469
2010-10-05,13.469,13.222,13.2112,12.2434,13.0531,13.372
2010-10-06,13.372,13.495,13.2445,12.2643,13.0453,13.263
2010-10-07,13.263,13.418,13.2657,12.2872,13.0367,13.422
2010-10-08,13.422,13.332,13.3194,12.3129,13.0286,13.484
2010-10-11,13.484,13.475,13.4019,12.3399,13.0195,13.548
2010-10-12,13.548,13.516,13.4177,12.3654,13.0099,13.596
