ticker,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,BALL US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2004-08-18,9.3013,9.2125,8.1109,9.1255,8.9415,9.2313
2004-08-19,9.2313,9.3125,8.1219,9.1718,8.9511,9.3212
2004-08-20,9.3212,9.225,8.1334,9.2315,8.9638,9.2638
2004-08-23,9.2638,9.3525,8.1448,9.262,8.9746,9.37
2004-08-24,9.37,9.325,8.1565,9.2975,8.9888,9.29
2004-08-25,9.29,9.37,8.1678,9.2953,9.0013,9.295
2004-08-26,9.295,9.3025,8.1794,9.308,9.0141,9.2775
2004-08-27,9.2775,9.305,8.1912,9.2993,9.0261,9.2475
2004-08-30,9.2475,9.3,8.2025,9.296,9.0344,9.335
2004-08-31,9.335,9.2925,8.2146,9.289,9.0454,9.375
2004-09-01,9.375,9.3525,8.2269,9.306,9.0557,9.4
2004-09-02,9.4,9.3975,8.2394,9.327,9.065,9.4025
2004-09-03,9.4025,9.3625,8.2521,9.352,9.0753,9.4
2004-09-07,9.4,9.425,8.2648,9.3825,9.0845,9.56
2004-09-08,9.56,9.4,8.2785,9.4275,9.0983,9.225
2004-09-09,9.225,9.56,8.2904,9.3975,9.1039,9.085
2004-09-10,9.085,9.225,8.3016,9.3345,9.1055,9.15
2004-09-13,9.15,9.12,8.313,9.284,9.1102,9.24
2004-09-14,9.24,9.1625,8.3244,9.252,9.1181,8.975
2004-09-15,8.975,9.2125,8.3345,9.135,9.1173,9.145
2004-09-16,9.145,8.9875,8.3452,9.119,9.1186,9.1075
2004-09-17,9.1075,9.145,8.3554,9.1235,9.1217,9.01
2004-09-20,9.01,9.075,8.3653,9.0955,9.1243,8.975
2004-09-21,8.975,9.0475,8.3743,9.0425,9.1248,8.9625
2004-09-22,8.9625,8.9,8.3824,9.04,9.123,8.7875
2004-09-23,8.7875,8.98,8.39,8.9685,9.1172,8.9875
2004-09-24,8.9875,8.825,8.3982,8.9445,9.1135,9.03
2004-09-27,9.03,9.0125,8.4068,8.9485,9.1107,9.105
2004-09-28,9.105,9.03,8.4163,8.9745,9.1121,9.0575
2004-09-29,9.0575,9.1375,8.4253,8.9935,9.1131,9.3575
2004-09-30,9.3575,9.125,8.436,9.1075,9.1238,9.385
2004-10-01,9.385,9.3575,8.4474,9.187,9.1362,9.4275
2004-10-04,9.4275,9.425,8.4587,9.2665,9.1497,9.4975
2004-10-05,9.4975,9.395,8.4697,9.345,9.1678,9.645
2004-10-06,9.645,9.4975,8.4814,9.4625,9.1867,9.5225
2004-10-07,9.5225,9.65,8.4922,9.4955,9.1997,9.4025
2004-10-08,9.4025,9.5,8.5021,9.499,9.2067,9.395
2004-10-11,9.395,9.4375,8.512,9.4925,9.2141,9.3125
2004-10-12,9.3125,9.3975,8.5217,9.4555,9.2181,9.115
2004-10-13,9.115,9.3075,8.5304,9.3495,9.2166,9.29
2004-10-14,9.29,9.115,8.5402,9.303,9.2186,9.4175
2004-10-15,9.4175,9.29,8.5506,9.306,9.225,9.3875
2004-10-18,9.3875,9.33,8.5603,9.3045,9.2336,9.245
2004-10-19,9.245,9.3875,8.57,9.291,9.2375,9.405
2004-10-20,9.405,9.2575,8.5802,9.349,9.243,9.5325
2004-10-21,9.5325,9.435,8.5913,9.3975,9.2515,9.425
2004-10-22,9.425,9.5325,8.6022,9.399,9.26,9.4125
2004-10-25,9.4125,9.375,8.6126,9.404,9.2678,9.41
2004-10-26,9.41,9.415,8.6236,9.437,9.2738,9.4075
2004-10-27,9.4075,9.35,8.6349,9.4375,9.2781,10.0175
2004-10-28,10.0175,9.55,8.6492,9.5345,9.2924,9.9625
2004-10-29,9.9625,10.005,8.6629,9.642,9.3071,10.1125
2004-11-01,10.1125,9.985,8.6776,9.782,9.3229,10.0325
2004-11-02,10.0325,10.1125,8.6912,9.9065,9.3383,10.145
2004-11-03,10.145,10.1375,8.7054,10.054,9.3538,10.405
2004-11-04,10.405,10.175,8.7207,10.1315,9.3761,10.5025
2004-11-05,10.5025,10.425,8.7365,10.2395,9.4002,10.465
2004-11-08,10.465,10.5025,8.752,10.31,9.424,10.575
2004-11-09,10.575,10.515,8.768,10.4185,9.4505,10.565
2004-11-10,10.565,10.575,8.7831,10.5025,9.4751,10.6625
2004-11-11,10.6625,10.5375,8.799,10.554,9.5009,10.775
2004-11-12,10.775,10.6525,8.8148,10.6085,9.5284,10.76
2004-11-15,10.76,10.775,8.8295,10.6675,9.5555,10.7175
2004-11-16,10.7175,10.7625,8.843,10.696,9.5819,10.7575
2004-11-17,10.7575,10.825,8.8572,10.7345,9.6058,10.75
