ticker,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,ENPH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2014-08-04,9.72,9.86,10.126,9.2406,7.9516,9.7
2014-08-05,9.7,9.56,10.006,9.2596,7.9568,11.06
2014-08-06,11.06,11.5,10.12,9.3104,7.9679,11.5
2014-08-07,11.5,11.04,10.36,9.372,7.98,11.59
2014-08-08,11.59,11.5,10.714,9.4352,7.993,11.72
2014-08-11,11.72,11.65,11.114,9.5006,8.0079,11.22
2014-08-12,11.22,11.66,11.418,9.5564,8.0204,11.55
2014-08-13,11.55,11.3,11.516,9.6198,8.0386,12.39
2014-08-14,12.39,11.35,11.694,9.6958,8.0613,12.64
2014-08-15,12.64,12.46,11.904,9.7712,8.0851,13.19
2014-08-18,13.19,12.6,12.198,9.8594,8.1127,13.43
2014-08-19,13.43,13.25,12.64,9.9524,8.1421,13.47
2014-08-20,13.47,13.33,13.024,10.0496,8.1714,13.5
2014-08-21,13.5,13.44,13.246,10.1508,8.1992,13.87
2014-08-22,13.87,13.65,13.492,10.2604,8.2273,13.75
2014-08-25,13.75,13.87,13.604,10.3668,8.2561,14.52
2014-08-26,14.52,14.15,13.822,10.4858,8.2903,14.47
2014-08-27,14.47,15.13,14.022,10.602,8.3234,13.98
2014-08-28,13.98,14.13,14.118,10.7056,8.3525,14.08
2014-08-29,14.08,14.02,14.16,10.814,8.3818,14.41
2014-09-02,14.41,14.09,14.292,10.9328,8.4141,14.59
2014-09-03,14.59,14.47,14.306,11.055,8.4479,15.28
2014-09-04,15.28,14.53,14.468,11.193,8.4854,15.03
2014-09-05,15.03,15.29,14.678,11.3234,8.5222,15.31
2014-09-08,15.31,15.05,14.924,11.4596,8.5632,15.46
2014-09-09,15.46,15.54,15.134,11.599,8.6065,16.29
2014-09-10,16.29,15.44,15.474,11.7538,8.6526,16.82
2014-09-11,16.82,16.5,15.782,11.9102,8.7011,16.79
2014-09-12,16.79,17.31,16.134,12.0646,8.7498,16.01
2014-09-15,16.01,16.84,16.274,12.1976,8.7942,16.98
2014-09-16,16.98,15.78,16.578,12.3522,8.8429,17.39
2014-09-17,17.39,17.07,16.798,12.5168,8.8936,17.35
2014-09-18,17.35,17.64,16.904,12.6786,8.9458,16.85
2014-09-19,16.85,17.61,16.916,12.8322,8.997,16.06
2014-09-22,16.06,16.74,16.926,12.9666,9.0453,15.58
2014-09-23,15.58,15.85,16.646,13.0844,9.0918,14.74
2014-09-24,14.74,15.57,16.116,13.1884,9.1355,13.98
2014-09-25,13.98,14.61,15.442,13.2798,9.1768,14.51
2014-09-26,14.51,14.15,14.974,13.3856,9.2211,15.22
2014-09-29,15.22,14.18,14.806,13.496,9.2714,14.99
2014-09-30,14.99,15.16,14.688,13.5686,9.3219,14.44
2014-10-01,14.44,15.0,14.628,13.6256,9.3656,12.51
2014-10-02,12.51,13.99,14.334,13.649,9.4003,12.51
2014-10-03,12.51,12.57,13.934,13.667,9.434,11.35
2014-10-06,11.35,12.69,13.16,13.6654,9.4618,11.66
2014-10-07,11.66,11.32,12.494,13.6874,9.4902,11.93
2014-10-08,11.93,11.66,11.992,13.72,9.5213,11.23
2014-10-09,11.23,12.06,11.736,13.7348,9.5494,10.55
2014-10-10,10.55,11.12,11.344,13.7398,9.573,10.14
2014-10-13,10.14,10.5,11.102,13.7462,9.5948,10.46
2014-10-14,10.46,10.22,10.862,13.761,9.6178,11.33
2014-10-15,11.33,10.3,10.742,13.7936,9.6425,12.81
2014-10-16,12.81,11.03,11.058,13.8286,9.6748,12.02
2014-10-17,12.02,13.1,11.352,13.839,9.701,12.23
2014-10-20,12.23,11.97,11.77,13.8518,9.7276,13.8
2014-10-21,13.8,12.58,12.438,13.8934,9.7614,13.02
2014-10-22,13.02,13.85,12.776,13.9294,9.7888,13.6
2014-10-23,13.6,13.39,12.934,13.9704,9.8205,13.4
2014-10-24,13.4,13.56,13.21,13.9906,9.8496,13.14
2014-10-27,13.14,13.31,13.392,14.0006,9.8763,13.85
2014-10-28,13.85,13.27,13.402,14.0138,9.9053,13.94
2014-10-29,13.94,13.98,13.586,14.024,9.9357,14.13
2014-10-30,14.13,13.85,13.692,14.0372,9.965,15.02
2014-10-31,15.02,14.7,14.016,14.0676,9.9987,14.84
2014-11-03,14.84,15.0,14.356,14.087,10.0323,15.6
2014-11-04,15.6,14.73,14.706,14.124,10.0692,12.05
2014-11-05,12.05,14.64,14.328,14.0746,10.089,11.41
2014-11-06,11.41,12.17,13.784,14.0134,10.1069,11.8
2014-11-07,11.8,11.55,13.14,13.9698,10.1279,11.23
2014-11-10,11.23,11.76,12.418,13.9128,10.1474,10.49
2014-11-11,10.49,11.22,11.396,13.8344,10.1628,10.63
2014-11-12,10.63,10.32,11.112,13.7552,10.1793,10.64
2014-11-13,10.64,10.63,10.958,13.6624,10.1948,11.06
2014-11-14,11.06,10.6,10.81,13.583,10.2131,10.6
2014-11-17,10.6,10.89,10.684,13.4888,10.2329,11.09
2014-11-18,11.09,10.65,10.804,13.4014,10.2546,10.7
2014-11-19,10.7,11.33,10.818,13.2896,10.2751,11.08
2014-11-20,11.08,10.66,10.906,13.1748,10.2975,11.475
2014-11-21,11.475,11.36,10.989,13.0685,10.3214,11.56
2014-11-24,11.56,11.37,11.181,12.9795,10.3441,11.445
2014-11-25,11.445,11.67,11.252,12.8688,10.3663,11.44
2014-11-26,11.44,11.44,11.4,12.7498,10.3892,10.51
2014-11-28,10.51,11.39,11.286,12.613,10.4053,10.5
2014-12-01,10.5,10.5,11.091,12.486,10.4213,11.65
2014-12-02,11.65,10.5,11.109,12.3978,10.4416,12.2
2014-12-03,12.2,11.69,11.26,12.3302,10.4623,11.85
2014-12-04,11.85,12.21,11.342,12.2724,10.482,12.86
2014-12-05,12.86,11.92,11.812,12.25,10.5094,12.3
2014-12-08,12.3,12.72,12.172,12.2058,10.5328,12.8
2014-12-09,12.8,12.07,12.402,12.1574,10.5573,12.75
2014-12-10,12.75,12.66,12.512,12.1126,10.58,12.55
2014-12-11,12.55,12.58,12.652,12.0748,10.6015,12.45
2014-12-12,12.45,12.39,12.57,12.0736,10.6234,12.38
2014-12-15,12.38,12.57,12.586,12.071,10.6452,12.46
2014-12-16,12.46,12.04,12.518,12.0932,10.6651,13.44
2014-12-17,13.44,12.55,12.656,12.1288,10.6891,13.995
2014-12-18,13.995,13.73,12.945,12.1701,10.7169,14.08
2014-12-19,14.08,13.95,13.271,12.2271,10.7447,14.6
2014-12-22,14.6,14.05,13.715,12.3081,10.7757,14.4
2014-12-23,14.4,14.69,14.103,12.3933,10.8058,14.38
2014-12-24,14.38,14.39,14.291,12.4717,10.8352,14.82
2014-12-26,14.82,14.53,14.456,12.5415,10.8674,14.3
2014-12-29,14.3,14.77,14.5,12.5713,10.8976,14.09
2014-12-30,14.09,14.16,14.398,12.6127,10.9268,14.29
2014-12-31,14.29,14.11,14.376,12.6539,10.9556,14.21
2015-01-02,14.21,14.3,14.342,12.6621,10.9841,13.88
2015-01-05,13.88,14.04,14.154,12.6793,11.0118,12.94
2015-01-06,12.94,13.92,13.882,12.6661,11.0351,11.4
2015-01-07,11.4,12.41,13.344,12.6261,11.051,11.73
2015-01-08,11.73,11.81,12.832,12.5979,11.0682,11.53
