ticker,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,OKE US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2000-11-27,9.1923,9.2196,6.6469,9.206,8.7604,9.3291
2000-11-28,9.3291,9.1923,6.667,9.2279,8.7875,9.206
2000-11-29,9.206,9.3838,6.6858,9.2114,8.8165,8.9324
2000-11-30,8.9324,9.1786,6.704,9.1704,8.8389,9.1239
2000-12-01,9.1239,8.9461,6.723,9.1567,8.866,9.3017
2000-12-04,9.3017,9.1102,6.7433,9.1786,8.8972,9.4522
2000-12-05,9.4522,9.3428,6.7648,9.2032,8.9319,9.3701
2000-12-06,9.3701,9.4659,6.7863,9.2361,8.962,9.206
2000-12-07,9.206,9.3701,6.8078,9.2908,8.985,9.2744
2000-12-08,9.2744,9.2196,6.8304,9.3209,9.0072,9.1786
2000-12-11,9.1786,9.2744,6.8518,9.2962,9.0166,9.4659
2000-12-12,9.4659,9.1102,6.8743,9.299,9.0325,9.5069
2000-12-13,9.5069,9.4932,6.8966,9.3263,9.047,9.3154
2000-12-14,9.3154,9.5206,6.9183,9.3482,9.0514,9.4795
2000-12-15,9.4795,9.3017,6.9408,9.3893,9.0601,9.5206
2000-12-18,9.5206,9.5343,6.9637,9.4577,9.0637,9.9173
2000-12-19,9.9173,9.5753,6.9883,9.5479,9.0782,10.0267
2000-12-20,10.0267,9.931,7.0126,9.6519,9.0993,10.0951
2000-12-21,10.0951,10.0267,7.0371,9.8078,9.1203,10.2045
2000-12-22,10.2045,10.0951,7.0621,9.9528,9.1422,10.5192
2000-12-26,10.5192,10.2319,7.0885,10.1526,9.1712,10.6012
2000-12-27,10.6012,10.5465,7.1167,10.2893,9.2002,11.0663
2000-12-28,11.0663,10.6149,7.1467,10.4973,9.2443,10.5328
2000-12-29,10.5328,10.9842,7.1724,10.5848,9.2807,10.1361
2001-01-02,10.1361,10.4781,7.1965,10.5711,9.3077,10.1635
2001-01-03,10.1635,10.1909,7.2204,10.5,9.334,9.4932
2001-01-04,9.4932,10.1361,7.2405,10.2784,9.351,10.3003
2001-01-05,10.3003,9.4795,7.2655,10.1252,9.3852,10.396
2001-01-08,10.396,10.3003,7.2911,10.0978,9.4246,10.4371
2001-01-09,10.4371,10.355,7.3165,10.158,9.464,10.5739
2001-01-10,10.5739,10.4097,7.3426,10.2401,9.5055,10.013
2001-01-11,10.013,10.5739,7.3667,10.3441,9.5359,9.931
2001-01-12,9.931,10.4508,7.3897,10.2702,9.5611,9.8489
2001-01-16,9.8489,9.972,7.4119,10.1608,9.581,9.8352
2001-01-17,9.8352,9.8899,7.4337,10.0404,9.5994,9.7258
2001-01-18,9.7258,9.9173,7.4549,9.8708,9.6158,9.7258
2001-01-19,9.7258,9.7668,7.4763,9.8133,9.6297,10.0267
2001-01-22,10.0267,9.6574,7.4995,9.8325,9.6464,10.1361
2001-01-23,10.1361,10.0267,7.5227,9.8899,9.6648,10.2593
2001-01-24,10.2593,10.1361,7.5468,9.9747,9.6869,10.396
2001-01-25,10.396,10.2182,7.5718,10.1088,9.7124,10.0814
2001-01-26,10.0814,10.4097,7.5952,10.1799,9.7321,10.0524
2001-01-29,10.0524,10.0152,7.6183,10.1851,9.7536,10.0371
2001-01-30,10.0371,10.0656,7.6405,10.1652,9.7716,9.781
2001-01-31,9.781,10.013,7.6618,10.0696,9.785,9.7066
2001-02-01,9.7066,9.7942,7.6822,9.9317,9.7942,9.6935
2001-02-02,9.6935,9.7066,7.7028,9.8541,9.8037,9.8533
2001-02-05,9.8533,9.6891,7.7243,9.8143,9.815,9.7964
2001-02-06,9.7964,9.9583,7.7449,9.7661,9.8282,9.9802
2001-02-07,9.9802,9.8467,7.767,9.806,9.844,10.2866
2001-02-08,10.2866,10.0021,7.7899,9.922,9.8658,10.2625
2001-02-09,10.2625,10.2757,7.8131,10.0358,9.8845,10.2428
2001-02-12,10.2428,10.2757,7.8369,10.1137,9.9052,10.2056
2001-02-13,10.2056,10.256,7.8603,10.1956,9.9307,10.0524
2001-02-14,10.0524,10.2034,7.8827,10.21,9.9493,9.8992
2001-02-15,9.8992,9.9474,7.9043,10.1325,9.9612,10.0152
2001-02-16,10.0152,9.9255,7.9267,10.0831,9.9725,9.6081
2001-02-20,9.6081,9.6847,7.9471,9.9561,9.9773,9.6322
2001-02-21,9.6322,9.641,7.9673,9.8414,9.9858,9.5206
2001-02-22,9.5206,9.6431,7.9869,9.7351,9.9907,9.4878
2001-02-23,9.4878,9.5228,8.0068,9.6528,9.9969,9.5622
2001-02-26,9.5622,9.5096,8.0271,9.5622,9.9988,9.6344
2001-02-27,9.6344,9.5622,8.047,9.5674,10.0014,9.6191
2001-02-28,9.6191,9.6847,8.0669,9.5648,10.0074,9.6694
2001-03-01,9.6694,9.6519,8.0859,9.5946,10.0112,9.7985
2001-03-02,9.7985,9.6694,8.1054,9.6567,10.0168,9.7088
2001-03-05,9.7088,9.827,8.125,9.686,10.0126,9.6125
2001-03-06,9.6125,9.7176,8.1443,9.6817,10.0043,9.665
2001-03-07,9.665,9.6125,8.1641,9.6909,9.9957,9.6038
2001-03-08,9.6038,9.7066,8.1826,9.6777,9.9837,9.363
2001-03-09,9.363,9.6038,8.2003,9.5906,9.9606,9.3017
2001-03-12,9.3017,9.3783,8.2168,9.5092,9.9346,9.1595
2001-03-13,9.1595,9.3455,8.233,9.4186,9.8965,8.9625
2001-03-14,8.9625,9.0063,8.2477,9.2781,9.8651,9.1485
2001-03-15,9.1485,8.9515,8.2628,9.187,9.8453,8.9756
2001-03-16,8.9756,9.1266,8.2758,9.1096,9.8216,9.1179
2001-03-19,9.1179,8.9756,8.2885,9.0728,9.814,8.9187
2001-03-20,8.9187,9.0172,8.3001,9.0246,9.7864,8.6692
2001-03-21,8.6692,8.9078,8.3117,8.966,9.7519,8.2359
2001-03-22,8.2359,8.6889,8.3218,8.7835,9.7079,8.3869
2001-03-23,8.3869,8.2709,8.3328,8.6657,9.6641,8.6933
2001-03-26,8.6933,8.47,8.3458,8.5808,9.6377,8.7152
2001-03-27,8.7152,8.7108,8.3583,8.5401,9.6134,8.6495
2001-03-28,8.6495,8.6998,8.3703,8.5361,9.5894,8.7852
2001-03-29,8.7852,8.678,8.3826,8.646,9.5684,8.9493
2001-03-30,8.9493,8.7655,8.3961,8.7585,9.5529,8.7655
2001-04-02,8.7655,8.9297,8.4088,8.7729,9.5337,8.6955
2001-04-03,8.6955,8.7655,8.4209,8.769,9.5071,8.8093
2001-04-04,8.8093,8.6955,8.4337,8.801,9.4805,9.0347
2001-04-05,9.0347,8.8093,8.448,8.8509,9.456,8.9143
2001-04-06,8.9143,8.9953,8.4618,8.8439,9.4264,9.1595
2001-04-09,9.1595,8.8968,8.4776,8.9226,9.408,9.4024
2001-04-10,9.4024,9.1923,8.4948,9.064,9.395,9.1573
2001-04-11,9.1573,9.3893,8.5106,9.1336,9.3774,9.3433
2001-04-12,9.3433,9.1923,8.528,9.1954,9.3686,9.5534
2001-04-16,9.5534,9.3411,8.5457,9.3232,9.3655,9.7745
2001-04-17,9.7745,9.5425,8.5651,9.4462,9.3672,9.5687
2001-04-18,9.5687,9.7613,8.5846,9.4794,9.3615,9.6235
2001-04-19,9.6235,9.6081,8.603,9.5727,9.358,9.4133
2001-04-20,9.4133,9.6256,8.6206,9.5867,9.3467,9.5315
2001-04-23,9.5315,9.444,8.6389,9.5823,9.3316,9.5862
2001-04-24,9.5862,9.5293,8.6576,9.5447,9.318,9.7066
2001-04-25,9.7066,9.5862,8.6769,9.5722,9.3073,9.641
2001-04-26,9.641,9.641,8.6953,9.5757,9.296,9.641
2001-04-27,9.641,9.5862,8.7136,9.6213,9.2878,9.4593
2001-04-30,9.4593,9.63,8.7312,9.6068,9.279,9.4287
2001-05-01,9.4287,9.3893,8.7491,9.5753,9.2673,9.2317
2001-05-02,9.2317,9.4987,8.766,9.4803,9.2597,9.026
2001-05-03,9.026,9.1813,8.7815,9.3573,9.2476,9.166
2001-05-04,9.166,9.0281,8.7972,9.2623,9.2405,9.1595
2001-05-07,9.1595,9.166,8.8128,9.2024,9.234,9.0347
2001-05-08,9.0347,9.061,8.8281,9.1236,9.2234,9.1047
2001-05-09,9.1047,9.0719,8.8444,9.0982,9.2128,9.1704
2001-05-10,9.1704,9.1266,8.8608,9.1271,9.2038,9.1989
2001-05-11,9.1989,9.1376,8.8773,9.1336,9.1944,9.2558
2001-05-14,9.2558,9.1507,8.8939,9.1529,9.1836,9.3061
2001-05-15,9.3061,9.2689,8.9116,9.2072,9.1755,9.3783
2001-05-16,9.3783,9.1923,8.9293,9.2619,9.1708,9.2382
2001-05-17,9.2382,9.3674,8.9458,9.2755,9.1623,9.3783
2001-05-18,9.3783,9.2361,8.9615,9.3114,9.1578,9.4834
2001-05-21,9.4834,9.398,8.977,9.3569,9.1602,9.5425
2001-05-22,9.5425,9.4768,8.9929,9.4041,9.165,9.444
2001-05-23,9.444,9.5425,9.008,9.4173,9.1707,9.2908
2001-05-24,9.2908,9.4112,9.0219,9.4278,9.1773,9.1967
2001-05-25,9.1967,9.3127,9.0353,9.3915,9.1782,9.0478
2001-05-29,9.0478,9.1923,9.048,9.3043,9.1797,9.1529
2001-05-30,9.1529,9.0391,9.0606,9.2264,9.1804,9.2142
2001-05-31,9.2142,9.1266,9.073,9.1805,9.1863,9.201
2001-06-01,9.201,9.2361,9.0845,9.1625,9.1969,9.3696
