ticker,CME US Equity,CME US Equity,CME US Equity,CME US Equity,CME US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_5D,MOV_AVG_50D,MOV_AVG_200D,
date,,,,,,
2004-06-10,25.4,24.48,24.7492,23.4804,17.4053,25.36
2004-06-14,25.36,25.32,24.9968,23.6006,17.4618,25.176
2004-06-15,25.176,24.904,25.058,23.7021,17.5148,25.464
2004-06-16,25.464,25.14,25.1632,23.7994,17.5707,25.44
2004-06-17,25.44,25.464,25.368,23.8786,17.6275,25.81
2004-06-18,25.81,25.4,25.45,23.9628,17.6869,26.004
2004-06-21,26.004,25.974,25.5788,24.0432,17.746,25.8
2004-06-22,25.8,26.004,25.7036,24.121,17.804,26.71
2004-06-23,26.71,25.8,25.9528,24.2152,17.8672,27.002
2004-06-24,27.002,26.71,26.2652,24.3339,17.9301,27.68
2004-06-25,27.68,27.052,26.6392,24.4632,17.9964,28.188
2004-06-28,28.188,27.73,27.076,24.5918,18.0657,28.14
2004-06-29,28.14,28.138,27.544,24.7147,18.135,28.874
2004-06-30,28.874,28.15,27.9768,24.8331,18.2078,29.466
2004-07-01,29.466,28.824,28.4696,24.958,18.2838,28.654
2004-07-02,28.654,29.5,28.6644,25.073,18.3556,28.332
2004-07-06,28.332,28.604,28.6932,25.1708,18.4249,28.826
2004-07-07,28.826,28.332,28.8304,25.272,18.4953,28.34
2004-07-08,28.34,28.826,28.7236,25.3695,18.5636,27.746
2004-07-09,27.746,28.24,28.3796,25.4405,18.6299,26.964
2004-07-12,26.964,27.722,28.0416,25.5058,18.6944,26.76
2004-07-13,26.76,26.94,27.7272,25.573,18.7585,26.18
2004-07-14,26.18,26.4,27.198,25.6274,18.821,24.53
2004-07-15,24.53,25.94,26.436,25.6448,18.8771,23.442
2004-07-16,23.442,24.532,25.5752,25.6285,18.9279,23.85
2004-07-19,23.85,23.532,24.9524,25.6161,18.9783,25.16
2004-07-20,25.16,24.01,24.6324,25.6475,19.0351,24.158
2004-07-21,24.158,25.16,24.228,25.6646,19.0848,25.03
2004-07-22,25.03,24.65,24.328,25.698,19.1382,24.85
2004-07-23,24.85,25.42,24.6096,25.7238,19.1896,24.548
2004-07-26,24.548,24.86,24.7492,25.7474,19.2394,25.024
2004-07-27,25.024,24.568,24.722,25.7762,19.2912,24.946
2004-07-28,24.946,25.11,24.8796,25.8006,19.3434,25.29
2004-07-29,25.29,25.0,24.9316,25.8385,19.3972,25.1
2004-07-30,25.1,25.45,24.9816,25.8494,19.448,25.08
2004-08-02,25.08,24.71,25.088,25.8547,19.4989,25.268
2004-08-03,25.268,25.13,25.1368,25.8652,19.5508,25.04
2004-08-04,25.04,25.244,25.1556,25.8677,19.6026,24.25
2004-08-05,24.25,25.042,24.9476,25.8477,19.6533,25.976
2004-08-06,25.976,24.02,25.1228,25.8567,19.7142,27.084
2004-08-09,27.084,25.998,25.5236,25.8784,19.7796,27.5
2004-08-10,27.5,27.1,25.97,25.9072,19.8499,27.462
2004-08-11,27.462,27.46,26.4544,25.9396,19.9219,26.64
2004-08-12,26.64,27.462,26.9324,25.9844,19.9873,26.602
2004-08-13,26.602,26.64,27.0576,26.0236,20.0523,27.0
2004-08-16,27.0,26.552,27.0408,26.0898,20.1193,26.986
2004-08-17,26.986,27.1,26.938,26.1471,20.1853,26.98
2004-08-18,26.98,26.984,26.8416,26.1893,20.2528,26.754
2004-08-19,26.754,27.03,26.8644,26.2256,20.3186,26.988
2004-08-20,26.988,26.58,26.9416,26.2771,20.3856,27.478
