ticker,APH US Equity,APH US Equity,APH US Equity,APH US Equity,APH US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2001-06-08,2.9906,3.075,3.0486,3.1243,2.7392,2.9
2001-06-11,2.9,2.975,3.0437,3.0918,2.7595,2.8238
2001-06-12,2.8238,2.8625,3.0384,3.0221,2.7766,2.8013
2001-06-13,2.8013,2.8244,3.0331,2.9423,2.7938,2.6594
2001-06-14,2.6594,2.7656,3.0273,2.835,2.8099,2.5194
2001-06-15,2.5194,2.6094,3.0204,2.7408,2.8229,2.4125
2001-06-18,2.4125,2.5188,3.012,2.6433,2.8311,2.2813
2001-06-19,2.2813,2.4281,3.0034,2.5348,2.8382,2.2231
2001-06-20,2.2231,2.2438,2.9938,2.4191,2.8426,2.3219
2001-06-21,2.3219,2.2344,2.9846,2.3516,2.8454,2.3219
