ticker,WST US Equity,WST US Equity,WST US Equity,WST US Equity,WST US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2013-02-07,29.91,29.885,25.5464,29.858,27.9124,29.865
2013-02-08,29.865,29.925,25.5906,29.851,27.9708,29.815
2013-02-11,29.815,29.825,25.6341,29.878,28.0283,29.955
2013-02-12,29.955,29.865,25.6765,29.9,28.0846,29.805
2013-02-13,29.805,29.925,25.7167,29.87,28.1404,29.85
2013-02-14,29.85,29.8,25.755,29.858,28.202,29.565
2013-02-15,29.565,29.94,25.7906,29.798,28.2495,29.555
2013-02-19,29.555,29.575,25.8265,29.746,28.2907,29.39
2013-02-20,29.39,29.53,25.8615,29.633,28.3318,30.03
2013-02-21,30.03,29.595,25.901,29.678,28.3853,30.35
2013-02-22,30.35,30.26,25.9453,29.778,28.4427,30.05
2013-02-25,30.05,30.355,25.9863,29.875,28.4864,30.105
2013-02-26,30.105,30.14,26.0263,29.985,28.5345,30.26
2013-02-27,30.26,30.1,26.0673,30.159,28.5906,30.21
2013-02-28,30.21,30.31,26.1077,30.195,28.6461,30.43
2013-03-01,30.43,30.05,26.1495,30.211,28.7033,30.43
2013-03-04,30.43,30.32,26.1909,30.287,28.7639,30.33
2013-03-05,30.33,30.5,26.2296,30.332,28.8279,30.525
2013-03-06,30.525,30.41,26.2688,30.385,28.8897,30.385
2013-03-07,30.385,30.62,26.3067,30.42,28.9547,30.89
2013-03-08,30.89,30.61,26.3492,30.512,29.0313,30.9
2013-03-11,30.9,30.735,26.3887,30.606,29.112,31.055
2013-03-12,31.055,30.765,26.4299,30.751,29.1902,31.165
2013-03-13,31.165,31.025,26.4706,30.879,29.2724,31.585
2013-03-14,31.585,31.175,26.5111,31.119,29.3566,31.745
2013-03-15,31.745,31.65,26.5523,31.29,29.4392,31.435
2013-03-18,31.435,31.52,26.5893,31.397,29.5136,31.57
2013-03-19,31.57,31.505,26.6276,31.5,29.5888,31.88
2013-03-20,31.88,31.695,26.6675,31.643,29.6736,31.87
2013-03-21,31.87,31.77,26.7083,31.7,29.7596,32.145
2013-03-22,32.145,31.86,26.7504,31.78,29.8494,31.94
2013-03-25,31.94,32.14,26.79,31.881,29.9366,32.19
2013-03-26,32.19,31.945,26.8299,32.005,30.0294,32.185
2013-03-27,32.185,32.06,26.8697,32.066,30.1226,32.47
2013-03-28,32.47,32.275,26.9119,32.186,30.2222,31.665
2013-04-01,31.665,32.495,26.9509,32.09,30.3075,31.665
2013-04-02,31.665,31.705,26.9883,32.035,30.3919,31.125
2013-04-03,31.125,31.735,27.0204,31.822,30.462,31.44
2013-04-04,31.44,31.2,27.0545,31.673,30.5309,31.14
2013-04-05,31.14,31.0,27.0867,31.407,30.594,31.2
2013-04-08,31.2,31.2,27.1195,31.314,30.6347,31.13
2013-04-09,31.13,31.285,27.1505,31.207,30.6692,31.83
2013-04-10,31.83,31.205,27.1854,31.348,30.7123,31.715
2013-04-11,31.715,31.78,27.2214,31.403,30.7485,31.74
2013-04-12,31.74,31.655,27.2577,31.523,30.7895,30.95
2013-04-15,30.95,31.6,27.2911,31.473,30.8164,31.75
2013-04-16,31.75,31.195,27.3286,31.597,30.8534,31.46
2013-04-17,31.46,31.595,27.3628,31.523,30.889,31.53
2013-04-18,31.53,31.535,27.397,31.486,30.9227,31.9
2013-04-19,31.9,31.54,27.4303,31.518,30.9616,31.745
2013-04-22,31.745,32.01,27.4616,31.677,30.9983,32.025
2013-04-23,32.025,31.96,27.4943,31.732,31.0415,31.73
2013-04-24,31.73,32.02,27.5268,31.786,31.0798,31.805
2013-04-25,31.805,31.835,27.5603,31.841,31.1168,31.515
2013-04-26,31.515,31.815,27.5918,31.764,31.151,31.785
2013-04-29,31.785,31.615,27.624,31.772,31.1897,31.93
2013-04-30,31.93,31.78,27.6558,31.753,31.237,31.735
2013-05-01,31.735,31.785,27.6885,31.754,31.2806,31.995
2013-05-02,31.995,33.78,27.7194,31.792,31.3327,32.11
2013-05-03,32.11,32.36,27.7526,31.911,31.3743,31.75
2013-05-06,31.75,31.8,27.7834,31.904,31.4023,32.455
2013-05-07,32.455,31.82,27.8176,32.009,31.4504,32.55
2013-05-08,32.55,32.5,27.8534,32.172,31.4993,32.625
2013-05-09,32.625,32.615,27.8911,32.298,31.5466,32.755
2013-05-10,32.755,32.6,27.9299,32.427,31.5975,32.955
2013-05-13,32.955,32.71,27.969,32.668,31.648,33.27
2013-05-14,33.27,32.9,28.0086,32.831,31.7048,33.535
2013-05-15,33.535,33.15,28.051,33.028,31.7689,33.845
2013-05-16,33.845,33.535,28.0935,33.272,31.8353,34.21
2013-05-17,34.21,33.855,28.1385,33.563,31.9118,34.37
2013-05-20,34.37,34.055,28.1859,33.846,31.9814,34.205
2013-05-21,34.205,34.355,28.2356,34.033,32.0475,33.67
2013-05-22,33.67,34.125,28.2837,34.06,32.0998,33.805
2013-05-23,33.805,33.43,28.3282,34.052,32.1526,33.69
2013-05-24,33.69,33.7,28.3728,33.948,32.1947,33.99
2013-05-28,33.99,34.01,28.4198,33.872,32.2396,33.67
2013-05-29,33.67,33.8,28.4665,33.765,32.2843,34.225
