ticker,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,UNP US Equity,Close Tomorrow
field,PX_LAST,PX_OPEN,MOV_AVG_200D,MOV_AVG_5D,MOV_AVG_50D,
date,,,,,,
2014-11-11,121.24,121.03,99.7017,119.248,109.4516,120.71
2014-11-12,120.71,121.29,99.8753,120.108,109.7338,120.25
2014-11-13,120.25,120.41,100.036,120.37,109.9938,120.71
2014-11-14,120.71,120.24,100.204,120.762,110.2542,120.32
2014-11-17,120.32,120.23,100.3762,120.646,110.5114,120.62
2014-11-18,120.62,120.62,100.5462,120.522,110.7744,120.5
2014-11-19,120.5,120.56,100.7171,120.48,111.0368,120.91
2014-11-20,120.91,119.82,100.8839,120.612,111.3008,121.85
2014-11-21,121.85,122.17,101.0509,120.84,111.5976,122.91
2014-11-24,122.91,122.49,101.2285,121.358,111.915,122.51
2014-11-25,122.51,122.77,101.3968,121.736,112.2068,123.31
2014-11-26,123.31,122.69,101.5662,122.298,112.4814,116.77
2014-11-28,116.77,121.84,101.7034,121.47,112.6288,114.63
2014-12-01,114.63,116.44,101.8262,120.026,112.7342,118.97
2014-12-02,118.97,114.98,101.9753,119.238,112.9436,120.95
2014-12-03,120.95,119.35,102.1404,118.926,113.2066,119.76
2014-12-04,119.76,120.42,102.2945,118.216,113.428,118.61
2014-12-05,118.61,120.0,102.4398,118.584,113.6564,114.94
2014-12-08,114.94,117.87,102.5655,118.646,113.7836,116.06
2014-12-09,116.06,112.91,102.699,118.064,113.9342,113.69
2014-12-10,113.69,115.91,102.8244,116.612,114.0396,114.35
2014-12-11,114.35,113.98,102.9499,115.53,114.2106,112.55
2014-12-12,112.55,113.63,103.0617,114.318,114.3396,112.34
2014-12-15,112.34,113.15,103.1747,113.798,114.3962,112.2
2014-12-16,112.2,111.77,103.276,113.026,114.4544,114.92
2014-12-17,114.92,112.44,103.3898,113.272,114.6254,118.87
2014-12-18,118.87,116.95,103.5195,114.176,114.8424,118.47
2014-12-19,118.47,118.6,103.6429,115.36,115.105,120.41
2014-12-22,120.41,119.06,103.7794,116.974,115.4864,120.68
2014-12-23,120.68,120.91,103.9184,118.67,115.9384,120.3
2014-12-24,120.3,120.61,104.051,119.746,116.3412,120.39
2014-12-26,120.39,120.88,104.1883,120.05,116.755,120.7
2014-12-29,120.7,119.54,104.329,120.496,117.0884,120.25
2014-12-30,120.25,120.21,104.4618,120.464,117.3654,119.13
2014-12-31,119.13,120.72,104.584,120.154,117.6248,118.61
